`STD_YM`,`ADMI_CD`,`ADMI_NM`,`SEXDSTN_CD`,`AGRDE_CD`,`RSPOP_CNT`,`CTY_NM`
`202306`,`11290600`,`안암동`,`1`,`0004`,`174`,`성북구`
`202306`,`11230720`,`휘경1동`,`1`,`0004`,`326`,`동대문구`
`202306`,`11500593`,`화곡8동`,`1`,`0004`,`446`,`강서구`
`202306`,`11680640`,`역삼1동`,`1`,`0004`,`436`,`강남구`
`202306`,`11410710`,`북가좌1동`,`1`,`0004`,`458`,`서대문구`
`202306`,`11500605`,`가양3동`,`1`,`0004`,`448`,`강서구`
`202306`,`11620715`,`난향동`,`1`,`0004`,`346`,`관악구`
`202306`,`11560560`,`당산2동`,`1`,`0004`,`1238`,`영등포구`
`202306`,`11110670`,`창신1동`,`1`,`0004`,`70`,`종로구`
`202306`,`11290620`,`정릉1동`,`1`,`0004`,`562`,`성북구`
`202306`,`11200540`,`마장동`,`1`,`0004`,`466`,`성동구`
`202306`,`11470560`,`신월1동`,`1`,`0004`,`316`,`양천구`
`202306`,`11680660`,`개포1동`,`1`,`0004`,`148`,`강남구`
`202306`,`11500530`,`등촌2동`,`1`,`0004`,`458`,`강서구`
`202306`,`11530780`,`오류2동`,`1`,`0004`,`896`,`구로구`
`202306`,`11290555`,`삼선동`,`1`,`0004`,`326`,`성북구`
`202306`,`11545510`,`가산동`,`1`,`0004`,`370`,`금천구`
`202306`,`11560605`,`문래동`,`1`,`0004`,`1278`,`영등포구`
`202306`,`11215840`,`자양3동`,`1`,`0004`,`876`,`광진구`
`202306`,`11470520`,`목2동`,`1`,`0004`,`632`,`양천구`
`202306`,`11380590`,`응암2동`,`1`,`0004`,`1300`,`은평구`
`202306`,`11710720`,`잠실7동`,`1`,`0004`,`212`,`송파구`
`202306`,`11290575`,`동선동`,`1`,`0004`,`168`,`성북구`
`202306`,`11590510`,`노량진1동`,`1`,`0004`,`758`,`동작구`
`202306`,`11230536`,`용신동`,`1`,`0004`,`844`,`동대문구`
`202306`,`11200670`,`성수2가1동`,`1`,`0004`,`302`,`성동구`
`202306`,`11740560`,`고덕2동`,`1`,`0004`,`972`,`강동구`
`202306`,`11260690`,`신내2동`,`1`,`0004`,`396`,`중랑구`
`202306`,`11410640`,`홍제3동`,`1`,`0004`,`464`,`서대문구`
`202306`,`11170555`,`청파동`,`1`,`0004`,`234`,`용산구`
`202306`,`11215780`,`능동`,`1`,`0004`,`230`,`광진구`
`202306`,`11260680`,`신내1동`,`1`,`0004`,`1008`,`중랑구`
`202306`,`11560680`,`신길6동`,`1`,`0004`,`484`,`영등포구`
`202306`,`11440700`,`망원2동`,`1`,`0004`,`414`,`마포구`
`202306`,`11710647`,`위례동`,`1`,`0004`,`3126`,`송파구`
`202306`,`11710570`,`오금동`,`1`,`0004`,`978`,`송파구`
