상호명,도로명주소,행정동명,위도,경도
눞커피,"서울특별시 성동구 천호대로 292, 1층 (용답동)",용답동,37.5662475292948,127.052956703012
팜스365,"서울특별시 마포구 월드컵로 240, 홈플러스 월드컵점 2층 x9.5,yuw호 (성산동)",성산2동,37.5682884450841,126.897273034482
메가엠지씨커피 종로숭인점,"서울특별시 종로구 종로 377, 1층 (숭인동)",숭인2동,37.5743546937256,127.01942138197
노우즈 창덕,"서울특별시 종로구 돈화문로 88-1, UD빌딩 1층 (와룡동)",종로1.2.3.4가동,37.5763955890178,126.990605225675
대단한 탕후루 성동금호점,"서울특별시 성동구 금호로 148-1, 1층 (금호동1가)",금호1가동,37.5543450011788,127.020527873567
헤세드,"서울특별시 금천구 시흥대로30길 19, 1층 103호 (시흥동)",시흥3동,37.4432078819336,126.904466013867
카페숲안에,"서울특별시 강동구 구천면로 145, 2층 205호 (천호동)",천호2동,37.5424156241111,127.121304770809
보리원 압구정점,"서울특별시 강남구 압구정로29길 68, 주구센타 제2호 지상1층 101호 (압구정동, 현대아파트)",압구정동,37.5325363787069,127.029186511113
리빙크리에이터,"서울특별시 중구 장충단로 275, 5층 9호 (을지로6가)",광희동,37.5688849422849,127.008775114213
로우커피스탠드(RAW COFFEE STAND),"서울특별시 용산구 이태원로 244, 3층 (한남동)",한남동,37.5364813223241,127.00050055211
프리미엄 과일 신선도,"서울특별시 성동구 왕십리로 410, I동 1층 142호 (하왕십리동, 센트라스)",왕십리도선동,37.5666029325047,127.024082467223
메가엠지씨커피 압구정로데오역점,"서울특별시 강남구 압구정로 338, 지상1층 3호 (신사동)",압구정동,37.5279245130015,127.038877956425
뚜호(TTUHO),"서울특별시 용산구 녹사평대로 216-1, 1,2층 (이태원동)",이태원2동,37.5369637305616,126.987056842959
블랙멜,"서울특별시 강서구 화곡로24길 43, 1층 (화곡동)",화곡1동,37.5391650870121,126.839171333559
브라운 베이글 북가좌점,"서울특별시 서대문구 증가로12나길 63-6, 1층 가운데호 (북가좌동)",북가좌2동,37.5817814375113,126.92072970198
스포일드(Spoiled),"서울특별시 성북구 고려대로7마길 9, 1층 101호 (안암동1가)",안암동,37.5888974142252,127.019647531966
이디야 돌곶이역점,"서울특별시 성북구 돌곶이로22길 3, 1층 (석관동)",석관동,37.6101964263816,127.058098990689
카페만나,"서울특별시 동작구 사당로2다길 85, 1층 (사당동)",사당5동,37.489628030273,126.963096384054
헤세드(Hessed),"서울특별시 영등포구 선유동2로 15-1, 1층 (양평동3가)",양평2동,37.530676110167,126.895035110347
매머드 익스프레스 도봉한일병원점,"서울특별시 도봉구 도봉로109길 58, 1층 (쌍문동)",쌍문3동,37.6471800024959,127.030236734193
옳은정커피,"서울특별시 광진구 자양로50길 22, 1층 (구의동)",구의2동,37.5520363486494,127.093638074671
개편한까페,"서울특별시 광진구 긴고랑로 151-1, 1층 (중곡동)",중곡4동,37.5587652131185,127.091871745021
체크잇아웃!(Check it out!),"서울특별시 영등포구 선유로33길 2-2, 101동 1층 101호 (양평동3가, 아테네)",양평1동,37.526719433372,126.890741718552
메가엠지씨커피 금천롯데캐슬,"서울특별시 금천구 벚꽃로 40, 113동 107호 (독산동, 금천롯데캐슬골드파크1차아파트)",독산1동,37.4600596360114,126.893020585165
메이커스유니온스퀘어,"서울특별시 영등포구 당산로 10, 태광빌딩 4층 403호 (문래동3가)",문래동,37.5155867345276,126.894404377225
(주)학산 테라로사커피 포스코센터지점,"서울특별시 강남구 테헤란로 440, 포스코센터 지상 1, 2층 (대치동)",대치4동,37.5058149679709,127.056130956028
네이밍 카페 CAFEGO,"서울특별시 동대문구 장한로27가길 37, 상가동 1층 107호 (장안동, 동대문 더퍼스트 데시앙)",장안2동,37.5750495880554,127.070885574157
"매일,구움","서울특별시 강동구 양재대로128길 47, 1층 (명일동)",명일1동,37.5445074077061,127.145452866115
이디야 가락몰점,"서울특별시 송파구 양재대로 932, 가락동 농수산물도매시장 가락몰 3관 3층 1-1호 (가락동)",가락1동,37.4945376921828,127.108713599026
부부김밥,"서울특별시 종로구 동숭길 43, 1층 (동숭동)",이화동,37.5802279030004,127.004292842504
과일카페 프루츠(cafe fruits),"서울특별시 종로구 낙산길 22-16, 201호 (동숭동, 수근빌딩)",이화동,37.5801342441989,127.005401849296
산체스커피,"서울특별시 송파구 성내천로8길 3, 동성빌딩 1층 3호 (오금동)",오금동,37.5022054538003,127.136085276003
이앤아이ENI(cafe),"서울특별시 강남구 강남대로94길 9, 지상3층 (역삼동)",역삼1동,37.4994839547907,127.028096922783
킥스시,"서울특별시 영등포구 여의대방로61길 21, 삼두아파트 상가1층 6호 (신길동)",신길1동,37.5147559290278,126.923944819543
커피엔,"서울특별시 은평구 은평터널로 51, 은천교회 1층 (수색동)",수색동,37.5855955233545,126.899441287608
크림드 커피,"서울특별시 중구 다산로 114-1, 1층 (신당동)",약수동,37.5540962009648,127.010508975187
이월애김밥,"서울특별시 강동구 구천면로 258, 1층 (천호동)",천호1동,37.5432246185617,127.131905179298
강남후르츠,"서울특별시 강남구 논현로113길 13, 지상1층 103호 (논현동)",논현1동,37.5082845937128,127.032076212723
사모님댁,"서울특별시 양천구 목동동로12길 55, 2층 (목동)",목1동,37.5224262246286,126.877406205368
주식회사 핀량코리아,"서울특별시 중구 소월로 3, 지하1층 B1-262, B1-263호 (남창동)",회현동,37.559371862901,126.97620246899
부엉이젤라또,"서울특별시 광진구 능동로8길 19, 1층 (자양동)",자양3동,37.5364615808736,127.070281950958
이디야 고척스카이돔점,"서울특별시 구로구 경인로 397, 골든타워빌딩 별관동 지상1층 101호 (고척동)",고척1동,37.4976995650402,126.863870881484
뚜뚜빵빵,"서울특별시 광진구 영화사로5길 11, 1층 (중곡동)",중곡4동,37.5568473214141,127.091677897508
마더스 아뜰리에 카페,"서울특별시 마포구 마포대로 34 (도화동, 1층일부)",도화동,37.539260435206,126.946151540413
메타킹 양천향교역점,"서울특별시 강서구 강서로 462, 1층 104호 (등촌동, 대륭드림타워, 3동)",등촌3동,37.5666120273171,126.84140274432
커피 MENUHA(메누하),"서울특별시 종로구 평창문화로 29, 오피스텔 천지인 지하1층 1호 (평창동)",평창동,37.6048675538855,126.964762600216
달리는커피 봉천역점,"서울특별시 관악구 봉천로 372, 1층 (봉천동)",은천동,37.4833362795475,126.941074176987
카카오VX,"서울특별시 동대문구 한천로 126, 1층 (장안동)",장안1동,37.5722415064921,127.066305155288
노리밋커피룸,"서울특별시 용산구 후암로35길 49, 1층 (후암동)",후암동,37.5493033864043,126.976171042195
서울마님죽,"서울특별시 동대문구 왕산로 117, 불로장생타워 1층 1-3호 (제기동)",제기동,37.5784958557261,127.036492900333
우지커피 마곡점,"서울특별시 강서구 마곡중앙6로 42, 사이언스타 1층 115호 (마곡동)",가양1동,37.5601077371065,126.832082440541
에스에스에스(SSS),"서울특별시 동작구 만양로14라길 2, 1층 (노량진동)",노량진1동,37.5115809215988,126.945351066444
탑스타PC방,"서울특별시 강북구 삼양로 447, 2층 (수유동)",인수동,37.6433428979238,127.015934869853
MAXSPEED 창동본점,"서울특별시 도봉구 도봉로 578, 2층 (창동)",창5동,37.6562940617336,127.039703171252
꽃다비,"서울특별시 은평구 증산로15길 41, 1층 (신사동)",신사2동,37.5903355880616,126.908917372039
내가 끓인 봉지라면,"서울특별시 마포구 월드컵북로 402, 케이지아이티센터 1층 141호 (상암동)",상암동,37.580107752042,126.888982346416
카페 모모이,"서울특별시 마포구 와우산로13길 35, 아진 2층 202호 (상수동)",서강동,37.5487960685012,126.92154117324
에이치스커피,"서울특별시 관악구 행운1길 95, 1층 (봉천동)",행운동,37.4828952969035,126.956126710198
노빵노게인,"서울특별시 용산구 새창로12길 8, 1층 (도원동)",용문동,37.5393434690218,126.957799378667
달달차차(DALDALCHACHA),"서울특별시 중랑구 용마산로129나길 101, C동 202호 (신내동, 라이프미성아파트)",신내1동,37.6032529186598,127.098807349222
cafe55,"서울특별시 송파구 새말로5길 5, 1층 (문정동)",문정1동,37.4831401998325,127.124439456015
피트 앤 브레드,"서울특별시 송파구 정의로8길 9, 에이제이비전타워 1층 (문정동)",문정2동,37.4862271268212,127.11677647675
Day by Day(데이 바이 데이),"서울특별시 양천구 신정로7길 60-2, 금경빌딩 1층 2호 (신정동)",신정3동,37.5122385833128,126.837728864531
에이에이티(AAT)카페,"서울특별시 강남구 봉은사로68길 35, 지상1층 (삼성동)",삼성2동,37.5100214926183,127.051577908148
네오피스트,"서울특별시 구로구 구로동로 206, 1층 (구로동)",구로2동,37.49689551775,126.882696448004
