행정동명,상호명
가락1동,43
가락2동,74
가락본동,99
가리봉동,11
가산동,239
가양1동,218
가양2동,12
가양3동,9
가회동,73
갈현1동,40
갈현2동,53
강일동,20
개봉1동,44
개봉2동,33
개봉3동,29
개포1동,1
개포2동,26
개포3동,15
개포4동,37
거여1동,20
거여2동,30
고덕1동,22
고덕2동,39
고척1동,50
고척2동,25
공덕동,69
공릉1동,81
공릉2동,98
공항동,53
광장동,55
광희동,135
교남동,24
구로1동,17
구로2동,39
구로3동,118
구로4동,36
구로5동,74
구산동,40
구의1동,62
구의2동,44
구의3동,69
군자동,62
금호1가동,18
금호2.3가동,23
금호4가동,18
길동,69
길음1동,33
길음2동,48
낙성대동,52
난곡동,10
난향동,9
남가좌1동,17
남가좌2동,67
남영동,55
남현동,33
내곡동,38
노량진1동,80
노량진2동,31
녹번동,49
논현1동,122
논현2동,121
능동,38
다산동,33
답십리1동,42
답십리2동,42
당산1동,68
당산2동,73
대림1동,27
대림2동,17
대림3동,40
대방동,39
대조동,73
대치1동,27
대치2동,87
대치4동,124
대학동,80
대흥동,68
도곡1동,40
도곡2동,42
도림동,27
도봉1동,27
도봉2동,25
도화동,44
독산1동,69
독산2동,28
독산3동,35
독산4동,22
돈암1동,9
돈암2동,14
동선동,113
동화동,27
둔촌2동,43
등촌1동,72
등촌2동,31
등촌3동,70
마장동,14
마천1동,21
마천2동,20
망우3동,18
망우본동,84
망원1동,98
망원2동,54
면목2동,36
면목3.8동,44
면목4동,15
면목5동,15
면목7동,29
면목본동,44
명동,229
명일1동,56
명일2동,41
목1동,93
목2동,36
목3동,41
목4동,32
목5동,41
무악동,14
묵1동,46
묵2동,19
문래동,90
문정1동,42
문정2동,268
미성동,35
미아동,48
반포1동,45
반포2동,11
반포3동,33
반포4동,105
반포본동,4
발산1동,143
방배1동,56
방배2동,54
방배3동,31
방배4동,59
방배본동,50
방이1동,56
방이2동,82
방학1동,57
방학2동,15
방학3동,16
방화1동,85
방화2동,62
방화3동,26
번1동,47
번2동,17
번3동,12
보광동,17
보라매동,38
보문동,30
부암동,45
북가좌1동,13
북가좌2동,50
북아현동,14
불광1동,53
불광2동,21
사근동,54
사당1동,55
사당2동,52
사당3동,26
사당4동,18
사당5동,16
사직동,146
삼각산동,27
삼선동,59
삼성1동,111
삼성2동,87
삼성동,9
삼양동,25
삼전동,73
삼청동,70
상계10동,7
상계1동,59
상계2동,113
상계3.4동,24
상계5동,40
상계6.7동,46
상계8동,15
상계9동,9
상도1동,73
상도2동,38
상도3동,25
상도4동,22
상봉1동,38
상봉2동,55
상암동,151
상일1동,40
상일2동,10
서강동,83
서교동,406
서림동,30
서빙고동,9
서원동,61
서초1동,98
서초2동,90
서초3동,166
서초4동,63
석관동,44
석촌동,100
성내1동,56
성내2동,43
성내3동,57
성북동,71
성산1동,42
성산2동,55
성수1가1동,42
성수1가2동,101
성수2가1동,53
성수2가3동,98
성현동,15
세곡동,53
소공동,138
송정동,16
송중동,81
송천동,37
송파1동,100
송파2동,38
수궁동,26
수색동,17
수서동,30
수유1동,44
수유2동,31
수유3동,74
숭인1동,6
숭인2동,29
시흥1동,72
시흥2동,9
시흥3동,13
시흥4동,13
시흥5동,22
신길1동,23
신길3동,16
신길4동,18
신길5동,8
신길6동,40
신길7동,21
신내1동,48
신내2동,22
신당5동,20
신당동,64
신대방1동,32
신대방2동,59
신도림동,64
신림동,62
신사1동,31
신사2동,30
신사동(강남구),115
신사동(관악구),31
신수동,43
신원동,16
신월1동,26
신월2동,18
신월3동,15
신월4동,12
신월5동,14
신월6동,19
신월7동,16
신정1동,43
신정2동,30
신정3동,44
신정4동,79
신정6동,21
신정7동,32
신촌동,223
쌍문1동,22
쌍문2동,34
쌍문3동,24
쌍문4동,12
아현동,50
안암동,104
암사1동,46
암사2동,23
암사3동,19
압구정동,130
약수동,30
양재1동,114
양재2동,117
양평1동,46
양평2동,47
여의동,302
역삼1동,316
역삼2동,97
역촌동,78
연남동,169
연희동,121
염리동,43
염창동,58
영등포동,131
영등포본동,45
오금동,71
오류1동,25
오류2동,42
오륜동,29
옥수동,29
왕십리2동,21
왕십리도선동,56
용강동,50
용답동,33
용문동,21
용산2가동,21
용신동,92
우이동,36
우장산동,60
원효로1동,38
원효로2동,22
월계1동,45
월계2동,14
월계3동,22
월곡1동,39
월곡2동,64
위례동,63
은천동,34
을지로동,84
응봉동,6
응암1동,57
응암2동,24
응암3동,48
이문1동,62
이문2동,14
이촌1동,21
이촌2동,7
이태원1동,40
이태원2동,36
이화동,95
인수동,39
인헌동,32
일원1동,26
일원본동,9
자양1동,40
자양2동,32
자양3동,57
자양4동,65
잠실2동,75
잠실3동,134
잠실4동,22
잠실6동,152
잠실7동,8
잠실본동,117
잠원동,51
장안1동,89
장안2동,73
장위1동,21
장위2동,19
장위3동,12
장지동,43
장충동,25
전농1동,83
전농2동,45
정릉1동,18
정릉2동,29
정릉3동,35
정릉4동,28
제기동,53
조원동,37
종로1.2.3.4가동,324
종로5.6가동,83
종암동,63
중계1동,38
중계2.3동,31
중계4동,31
중계본동,51
중곡1동,33
중곡2동,35
중곡3동,37
중곡4동,44
중림동,35
중앙동,32
중화1동,19
중화2동,33
증산동,19
진관동,114
창1동,25
창2동,28
창3동,17
창4동,25
창5동,46
창신1동,27
창신2동,14
창신3동,8
천연동,25
천호1동,29
천호2동,82
천호3동,35
청구동,14
청담동,79
청량리동,26
청룡동,64
청림동,10
청운효자동,70
청파동,93
충현동,66
평창동,57
풍납1동,17
풍납2동,46
필동,75
하계1동,43
하계2동,7
한강로동,179
한남동,92
합정동,96
항동,25
행당1동,53
행당2동,11
행운동,43
혜화동,116
홍은1동,27
홍은2동,40
홍제1동,24
홍제2동,14
홍제3동,29
화곡1동,80
화곡2동,18
화곡3동,41
화곡4동,41
화곡6동,35
화곡8동,37
화곡본동,36
화양동,123
황학동,37
회기동,81
회현동,144
효창동,11
후암동,29
휘경1동,35
휘경2동,38
흑석동,50
