행정동명,미세먼지지수,공원수,도시농업(프로그램수),거주_유동_인구당_매출액,채소가게수,제로웨이스트 가게수,승하차인원_버스_지하철,카페수,유치원_초등학교,인구수,총_10대,총_20_30대,총_60대이상,1인세대
가락1동,16.56,2,0.0,26.85049573785865,10.0,0.0,184724.0,43.0,5.447809980387884e-05,55068,0.0956635432556112,0.2725720926854071,0.2114113459722525,0.1660227734851565
가락2동,16.56,9,0.0,35.83418857302259,3.0,0.0,190052.0,74.0,9.576403741181728e-05,62654,0.1047658569285281,0.2771411242697992,0.2259712069460848,0.2883232323232323
가락본동,16.56,9,0.0,140.9305071801823,9.0,2.0,273627.0,99.0,7.867511112859447e-05,50842,0.0643169033476259,0.3190669131820148,0.2525864442783525,0.4160452558498329
가리봉동,15.774,0,0.0,7.196664733934677,5.0,0.0,230955.0,11.0,0.0001086956521739,9200,0.0260869565217391,0.3358695652173913,0.2879347826086956,0.7306430446194225
가산동,17.357,3,0.0,139.44650694900187,7.0,0.0,940108.0,239.0,2.028726771078471e-05,49292,0.0261300008114907,0.5460520977034813,0.1777976142173172,0.7795803111677094
가양1동,30.68,12,0.0,77.51096953480669,2.0,7.0,453464.0,218.0,5.868716805070571e-05,68158,0.0512045541242407,0.4923266527773702,0.1616244608116435,0.6772499403198854
가양2동,15.34,5,0.0,114.92332549308192,0.0,0.0,90113.0,12.0,0.000146864444118,27236,0.0292260243794977,0.2642825671904832,0.4472756645616096,0.5798004987531172
가양3동,15.34,3,0.0,18.10886293024901,0.0,0.0,67861.0,9.0,0.0001734545202247,28826,0.0293485048220356,0.29917435648373,0.3675848192603899,0.4832171443325587
가회동,47.392,1,0.0,591.743814638529,2.0,1.0,139554.0,73.0,0.0002173913043478,9200,0.067391304347826,0.2039130434782608,0.2573913043478261,0.4833679833679833
갈현1동,13.483,4,0.0,75.11231098016158,3.0,0.0,232027.0,40.0,3.370407819346141e-05,29670,0.0657229524772497,0.2876306033029996,0.3029322548028311,0.4847753185781355
갈현2동,13.483,4,0.0,37.59944595724269,1.0,0.0,245983.0,53.0,0.0001082680717456,55418,0.0804792666642607,0.2743873831607059,0.2755422425926594,0.3799109273103229
강일동,32.123,8,2.0,25.810344622180185,3.0,0.0,262007.0,20.0,0.0002133430861601,32811,0.110145987626101,0.2307153088903111,0.2610100271250495,0.2740740740740741
개봉1동,17.357,2,0.0,21.166758974973064,4.0,0.0,523111.0,44.0,9.005493350944076e-05,33313,0.0655900099060426,0.2730165400894546,0.2902470507009275,0.366751269035533
개봉2동,17.357,1,0.0,19.52144871831959,0.0,0.0,312685.0,33.0,9.947279419078882e-05,30159,0.0691667495606618,0.245565171258994,0.30979143870818,0.2850237654072343
개봉3동,17.357,5,0.0,67.89308835518273,3.0,0.0,123892.0,29.0,0.000201592581393,19842,0.0662735611329503,0.2411047273460336,0.3126196955952021,0.3303561204626131
개포1동,16.56,0,0.0,763.4981603837474,4.0,0.0,103771.0,1.0,0.0002173913043478,9200,0.0766304347826087,0.1480434782608695,0.2453260869565217,0.2627960275019098
개포2동,33.12,12,0.0,44.448853554971,2.0,0.0,298994.0,26.0,0.0001547628259692,38769,0.1259511465346023,0.2471046454641595,0.1926281307230003,0.1709549899438241
개포3동,49.679,4,0.0,996.1903685101272,0.0,0.0,69514.0,15.0,0.0001757572206924,17069,0.0973695002636358,0.2395570918038549,0.2837307399378991,0.3442733657482442
개포4동,16.56,1,0.0,41.57875736121324,1.0,0.0,186882.0,37.0,0.000170976704424,23395,0.0941654199615302,0.2833511434067108,0.2241077153237871,0.3639873292417343
거여1동,17.603,7,0.0,20.426595063946,4.0,0.0,98213.0,20.0,8.258320257659592e-05,24218,0.0706086382029895,0.2747543149723346,0.2995292757453134,0.3996048850574712
거여2동,17.603,6,0.0,109.292592364646,4.0,0.0,107255.0,30.0,8.432414200185513e-05,47436,0.0748798380976473,0.2567670123956488,0.2685302302049077,0.3301297929257901
고덕1동,14.797,5,0.0,3.898674398504982,2.0,0.0,104316.0,22.0,0.0001675322499581,23876,0.1578572625230357,0.1882643658904339,0.1955939018261015,0.1697511949993871
고덕2동,14.797,7,0.0,34.8086988127024,4.0,2.0,157730.0,39.0,0.0001760021120253,22727,0.1010252123025476,0.2442909314911779,0.213666563998768,0.2644397274047592
고척1동,17.357,1,0.0,28.29026291166132,0.0,0.0,370898.0,50.0,0.0001907159476675,26217,0.0714040508067284,0.3195636419117366,0.2571613838349162,0.3397713493850684
고척2동,17.357,6,0.0,32.060117904524155,3.0,0.0,240770.0,25.0,0.0001154245700434,25991,0.07968142818668,0.238813435419953,0.3075680043091839,0.3607897712446725
공덕동,68.63,4,0.0,107.274037731797,5.0,0.0,399267.0,69.0,6.801425578801317e-05,73514,0.0580841744429632,0.338901433740512,0.2442800010882281,0.4977725296548763
공릉1동,15.673,8,0.0,80.25429030401378,7.0,2.0,296420.0,81.0,0.0001241721854304,72480,0.0692328918322295,0.3200883002207506,0.2781456953642384,0.5114093959731544
공릉2동,15.673,10,0.0,17.174055784192188,3.0,1.0,373913.0,98.0,0.0001730659875886,80894,0.1059658318293075,0.3065987588696318,0.2214997404010186,0.3684741770874222
공항동,98.902,7,2.0,45.222587934743295,5.0,2.0,239768.0,53.0,9.99666777740753e-05,60020,0.0747750749750083,0.2958680439853382,0.2189936687770743,0.4309472161966739
광장동,14.731,1,1.0,55.49534939791424,1.0,0.0,162258.0,55.0,0.0001175157177272,68076,0.1587637346495093,0.2113813972618837,0.1768023973206416,0.1934639419017058
광희동,129.972,3,1.0,159.1400767929797,6.0,1.0,412314.0,135.0,0.0,11362,0.034324942791762,0.4159478964970955,0.2788241506776976,0.7252379727296115
교남동,71.088,1,0.0,49.70790394645213,1.0,0.0,205542.0,24.0,0.0,19498,0.0826751461688378,0.2634116319622525,0.2347933121345779,0.3741653235090951
구로1동,15.774,0,0.0,206.7020664527689,1.0,0.0,106695.0,17.0,0.0001940052381414,20618,0.0921039868076438,0.2907168493549326,0.2330002910078572,0.2905235413921169
구로2동,15.774,3,2.0,68.33694695604801,8.0,2.0,610995.0,39.0,8.77077577511731e-05,22803,0.0535455861070911,0.2494847169232118,0.3389027759505328,0.5211221392830777
구로3동,15.774,2,0.0,190.23135818207328,1.0,1.0,490330.0,118.0,0.0002142336861048,23339,0.056514846394447,0.3901195423968465,0.2418269848751017,0.61968843706575
구로4동,15.774,2,0.0,29.50673958282444,20.0,0.0,303239.0,36.0,0.0001583949313621,18940,0.049260823653643,0.2840021119324181,0.3266631467793031,0.534861417473866
구로5동,15.774,2,0.0,230.2894305787152,1.0,1.0,473423.0,74.0,0.0001023576375857,29309,0.0494046197413763,0.3648708587805793,0.2527551264116824,0.5430374904361133
구산동,13.483,8,0.0,24.786333281334496,3.0,2.0,198317.0,40.0,0.0001106194690265,63280,0.0812579013906447,0.2567003792667509,0.2937104930467762,0.3609691042453878
구의1동,14.731,3,0.0,103.13289188078132,3.0,0.0,172567.0,62.0,4.273869561500983e-05,46796,0.052397640824002,0.4055474826908283,0.2162150611163347,0.5811809523809524
구의2동,14.731,2,0.0,78.18594768958506,2.0,0.0,231042.0,44.0,9.675671491601516e-05,51676,0.0838300178032355,0.271731558170137,0.2601594550661816,0.3822044227755528
