adstrd_cd,adstrd_nm,frglty_psn_co,frglty_psn_pctl,fnds_ix,fnds_pctl,rnfl_ix,rnfl_pctl
1101053,사직동,2417,41,142.175,68,3.524,77
1101054,삼청동,743,6,82.935,57,2.056,60
1101055,부암동,2638,44,36.67,44,0.942,46
1101056,평창동,5064,69,24.822,36,0.648,38
1101057,무악동,2471,42,11.848,1,0.294,3
1101058,교남동,2784,46,71.088,54,1.762,57
1101060,가회동,1167,19,47.392,48,1.175,51
1101061,종로1.2.3.4가동,1676,31,343.59,99,8.517,100
1101063,종로5.6가동,1145,18,68.434,54,1.604,55
1101064,이화동,1648,30,40.141,46,0.949,46
1101067,창신1동,1332,23,14.146,6,0.327,7
1101068,창신2동,2090,37,14.146,6,0.327,7
1101069,창신3동,1740,32,14.146,6,0.327,8
1101070,숭인1동,1575,29,14.146,7,0.327,8
1101071,숭인2동,1897,34,14.146,7,0.327,8
1101072,청운효자동,3345,52,118.479,63,2.937,68
1101073,혜화동,3689,55,71.088,54,1.762,57
1102052,소공동,460,2,142.175,68,3.524,77
1102054,회현동,1397,25,118.479,63,2.937,68
1102055,명동,763,7,272.502,95,6.755,98
1102057,필동,1010,14,130.327,64,3.231,72
1102058,장충동,1101,17,37.842,45,0.915,46
1102059,광희동,1283,22,129.972,64,3.106,72
1102060,을지로동,437,2,123.076,63,3.005,68
1102065,신당5동,2447,41,14.146,7,0.327,8
1102067,황학동,2894,47,14.146,7,0.327,7
1102068,중림동,3216,50,47.392,48,1.175,51
1102069,신당동,1783,32,42.439,46,0.982,47
1102070,다산동,3448,53,14.146,7,0.327,8
1102071,약수동,5029,69,14.146,7,0.327,8
1102072,청구동,3626,55,14.146,7,0.327,8
1102073,동화동,2822,46,14.146,7,0.327,8
1103051,후암동,4255,61,18.927,34,0.319,6
1103052,용산2가동,2509,42,37.855,45,0.637,37
1103053,남영동,1631,30,75.71,55,1.274,51
1103057,원효로2동,3603,55,94.637,58,1.593,55
1103058,효창동,2496,42,18.927,34,0.319,6
1103059,용문동,3016,49,37.855,45,0.637,37
1103063,이촌1동,8191,88,18.927,34,0.319,6
1103064,이촌2동,2411,41,18.927,34,0.319,6
1103065,이태원1동,1731,32,18.927,34,0.319,6
1103066,이태원2동,2425,41,18.927,34,0.319,6
1103069,서빙고동,3475,53,75.71,55,1.274,52
1103070,보광동,3367,52,18.927,34,0.319,6
1103071,청파동,4070,59,75.71,55,1.274,52
1103072,원효로1동,3530,54,75.71,55,1.274,52
1103073,한강로동,4654,65,94.637,58,1.593,55
1103074,한남동,5269,71,12.345,1,0.333,10
1104052,왕십리2동,4175,60,14.146,7,0.327,7
1104054,마장동,5432,72,14.146,6,0.327,7
1104055,사근동,2039,36,28.293,37,0.655,38
1104056,행당1동,3383,52,14.146,7,0.327,8
1104057,행당2동,6333,79,14.146,7,0.327,8
1104058,응봉동,4343,62,12.345,1,0.333,9
1104059,금호1가동,4213,61,12.345,1,0.333,9
1104062,금호4가동,4065,59,12.345,2,0.333,10
1104065,성수1가1동,3517,54,12.345,2,0.333,10
1104066,성수1가2동,2994,49,12.345,2,0.333,9
1104067,성수2가1동,3948,58,12.345,2,0.333,9
1104068,성수2가3동,2606,43,12.345,2,0.333,9
1104069,송정동,2472,42,14.731,11,0.339,17
1104070,용답동,2982,48,28.878,38,0.666,39
