,행정동,합계
0,가락1동,145128
1,가락2동,179506
2,가락본동,263168
3,가리봉동,230955
4,가산동,899875
5,가양1동,393787
6,가양2동,60490
7,가양3동,67861
8,가회동,139554
9,갈현1동,232027
10,갈현2동,245983
11,강일동,262007
12,개봉1동,523111
13,개봉2동,312685
14,개봉3동,123892
15,개포1동,103771
16,개포2동,298994
17,개포3동,54498
18,개포4동,186882
19,거여1동,82529
20,거여2동,107255
21,고덕1동,88251
22,고덕2동,157730
23,고척1동,370898
24,고척2동,240770
25,공덕동,375762
26,공릉1동,258054
27,공릉2동,358885
28,공항동,197491
29,광장동,140989
30,광희동,359045
31,교남동,205542
32,구로1동,106695
33,구로2동,610995
34,구로3동,393819
35,구로4동,269506
36,구로5동,473423
37,구산동,187992
38,구의1동,172567
39,구의2동,231042
40,구의3동,199595
41,군자동,289370
42,금호1가동,135141
43,금호2.3가동,162597
44,금호4가동,174719
45,길동,275081
46,길음1동,525496
47,길음2동,389862
48,낙성대동,650121
49,난곡동,239565
50,난향동,142127
51,남가좌1동,193231
52,남가좌2동,359485
53,남영동,536959
54,남현동,176841
55,내곡동,184435
56,노량진1동,806681
57,노량진2동,276751
58,녹번동,377771
59,논현1동,509055
60,논현2동,417718
61,능동,212958
62,다산동,99698
63,답십리1동,260722
64,답십리2동,258731
65,당산1동,243319
66,당산2동,503083
67,대림1동,240085
68,대림2동,135118
69,대림3동,211789
70,대방동,494306
71,대조동,525503
72,대치1동,371196
73,대치2동,596425
74,대치4동,419553
75,대학동,476271
76,대흥동,441040
77,도곡1동,386892
78,도곡2동,250530
79,도림동,182128
80,도봉1동,168930
81,도봉2동,258740
82,도화동,241950
83,독산1동,695982
84,독산2동,226494
85,독산3동,435023
86,독산4동,169603
87,돈암1동,259383
88,돈암2동,195027
89,동선동,511138
90,동화동,33617
91,둔촌1동,50715
92,둔촌2동,221024
93,등촌1동,283251
94,등촌2동,245654
95,등촌3동,392391
96,마장동,203242
97,마천1동,82753
98,마천2동,168798
99,망우3동,125784
100,망우본동,515661
101,망원1동,130552
102,망원2동,167964
103,면목2동,168077
104,면목4동,146212
105,면목5동,132127
106,면목7동,223926
107,면목본동,388257
108,면목제3.8동,280490
109,명동,717843
110,명일1동,199695
111,명일2동,113657
112,목1동,613824
113,목2동,228451
114,목3동,283297
115,목4동,245857
116,목5동,437958
117,무악동,60335
118,묵1동,241739
119,묵2동,80101
120,문래동,402837
121,문정1동,159953
122,문정2동,282737
123,미성동,456104
124,미아동,297487
125,반포1동,308140
126,반포2동,208654
127,반포3동,314473
128,반포4동,487636
129,반포본동,68355
130,발산1동,359568
131,방배1동,213108
132,방배2동,314508
133,방배3동,264948
134,방배4동,302736
135,방배본동,158447
136,방이1동,91828
137,방이2동,219768
138,방학1동,320723
139,방학2동,154604
140,방학3동,188252
141,방화1동,155688
142,방화2동,141242
143,방화3동,49409
144,번1동,588157
145,번2동,205044
146,번3동,243921
147,보광동,171997
148,보라매동,241388
149,보문동,178119
150,부암동,228198
151,북가좌1동,176736
152,북가좌2동,300073
153,북아현동,226394
154,불광1동,408253
155,불광2동,308553
156,사근동,142936
157,사당1동,286147
158,사당2동,362685
159,사당3동,171628
160,사당4동,46540
161,사당5동,108792
162,사직동,703762
163,삼각산동,154767
164,삼선동,637541
165,삼성1동,540803
166,삼성2동,324088
167,삼성동,312559
168,삼양동,222705
169,삼전동,210456
170,삼청동,135165
171,상계10동,154628
172,상계1동,219780
173,상계2동,358505
174,상계3.4동,82200
175,상계5동,125960
176,상계6.7동,320944
177,상계8동,64945
178,상계9동,143389
179,상도1동,784012
180,상도2동,337212
181,상도3동,229561
182,상도4동,198854
183,상봉1동,218831
184,상봉2동,390795
185,상암동,837102
186,상일1동,252223
187,상일2동,126754
188,서강동,183887
189,서교동,1525650
190,서림동,337808
191,서빙고동,206875
192,서원동,856655
193,서초1동,274120
194,서초2동,616891
195,서초3동,650510
196,서초4동,367843
197,석관동,258340
199,석촌동,378765
200,성내1동,143324
201,성내2동,190523
202,성내3동,139204
203,성북동,357194
204,성산1동,220648
205,성산2동,341300
206,성수1가1동,135806
207,성수1가2동,124935
208,성수2가1동,140286
209,성수2가3동,173320
210,성현동,294043
211,세곡동,461927
212,소공동,701701
214,송정동,66640
215,송중동,915103
216,송천동,448989
217,송파1동,271599
218,송파2동,173269
219,수궁동,410620
220,수색동,202454
221,수서동,367938
222,수유1동,299854
223,수유2동,252623
224,수유3동,662545
225,숭인1동,60296
226,숭인2동,235412
227,시흥1동,654533
228,시흥2동,205974
229,시흥3동,102889
230,시흥4동,139331
231,시흥5동,242460
232,신길1동,259895
233,신길3동,178197
234,신길4동,99544
235,신길5동,153411
236,신길6동,230022
237,신길7동,267453
238,신내1동,427060
239,신내2동,223235
240,신당5동,144514
241,신당동,112450
242,신대방1동,108938
243,신대방2동,254631
244,신도림동,530063
245,신림동,382183
246,신사1동,308265
247,신사2동,288889
248,신사동(강남구),332129
249,신사동(관악구),235518
250,신수동,76422
251,신원동,75605
252,신월1동,97117
253,신월2동,224544
254,신월3동,79566
255,신월4동,193119
256,신월5동,141339
257,신월6동,74764
258,신월7동,198885
259,신정1동,253575
260,신정2동,74847
261,신정3동,476371
262,신정4동,403798
263,신정6동,158456
264,신정7동,151678
265,신촌동,1119769
266,쌍문1동,249557
267,쌍문2동,288050
268,쌍문3동,194306
269,쌍문4동,163630
270,아현동,310821
271,안암동,270648
272,암사1동,136559
273,암사2동,99261
274,암사3동,74987
275,압구정동,611984
276,약수동,124141
277,양재1동,890966
278,양재2동,474942
279,양평1동,153264
280,양평2동,297268
281,여의동,1497219
282,역삼1동,1061392
283,역삼2동,444161
284,역촌동,325696
285,연남동,127848
286,연희동,1026410
287,염리동,153099
288,염창동,332534
289,영등포동,1108090
290,영등포본동,182736
291,오금동,308779
292,오류1동,216401
293,오류2동,233231
294,오륜동,216843
295,옥수동,211861
296,왕십리2동,99811
297,왕십리도선동,327870
298,용강동,150598
299,용답동,245922
300,용문동,68695
301,용산2가동,270694
302,용신동,907939
303,우이동,232910
304,우장산동,336337
305,원효로1동,253501
306,원효로2동,154997
307,월계1동,371295
308,월계2동,212063
309,월계3동,210659
310,월곡1동,319891
311,월곡2동,167157
312,위례동,407512
313,은천동,406699
314,을지로동,144530
315,응봉동,122328
316,응암1동,532998
317,응암2동,166566
318,응암3동,250129
319,이문1동,217914
320,이문2동,102214
321,이촌1동,178719
322,이촌2동,61356
323,이태원1동,179309
324,이태원2동,132116
325,이화동,376892
326,인수동,261588
327,인헌동,202482
328,일원1동,103266
329,일원본동,218199
330,자양1동,220281
331,자양2동,195830
332,자양3동,161237
333,자양4동,219783
334,잠실2동,188853
335,잠실3동,506484
336,잠실4동,92603
337,잠실6동,474007
338,잠실7동,75945
339,잠실본동,257500
340,잠원동,394618
341,장안1동,536398
342,장안2동,426464
344,장위1동,235921
345,장위2동,212344
346,장위3동,193545
347,장지동,271649
348,장충동,111511
349,전농1동,735849
350,전농2동,242995
351,정릉1동,300782
352,정릉2동,256645
353,정릉3동,195529
354,정릉4동,377268
355,제기동,546871
356,조원동,945393
357,종로1.2.3.4가동,1780568
358,종로5.6가동,320579
359,종암동,506547
360,중계1동,228317
361,중계2.3동,277693
362,중계4동,212182
363,중계본동,175510
364,중곡1동,128728
365,중곡2동,178643
366,중곡3동,116057
367,중곡4동,131277
368,중림동,119139
369,중앙동,300680
370,중화1동,158077
371,중화2동,274139
372,증산동,249277
373,진관동,673860
374,창1동,385650
375,창2동,239549
376,창3동,119671
377,창4동,324833
378,창5동,225204
379,창신1동,165851
380,창신2동,130074
381,창신3동,18160
382,천연동,335013
383,천호1동,101006
384,천호2동,248044
385,천호3동,135795
387,청구동,69537
388,청담동,574318
389,청량리동,332908
390,청룡동,353374
391,청림동,83526
392,청운효자동,234604
393,청파동,246504
395,충현동,508998
396,평창동,220912
397,풍납1동,90936
398,풍납2동,189182
399,필동,173223
400,하계1동,292399
401,하계2동,159645
403,한강로동,853625
404,한남동,731425
405,합정동,307132
406,항동,85024
407,행당1동,360925
408,행당2동,163477
409,행운동,356946
410,혜화동,470420
411,홍은1동,213022
412,홍은2동,551429
413,홍제1동,431459
414,홍제2동,236204
415,홍제3동,254358
416,화곡1동,571718
417,화곡2동,121936
