행정동명,승하차인원_버스,승하차인원_지하철,승하차인원_버스_지하철
가락1동,145128,39596.0,184724.0
가락2동,179506,10546.0,190052.0
가락본동,263168,10459.0,273627.0
가리봉동,230955,0.0,230955.0
가산동,899875,40233.0,940108.0
가양1동,393787,59677.0,453464.0
가양2동,60490,29623.0,90113.0
가양3동,67861,0.0,67861.0
가회동,139554,0.0,139554.0
갈현1동,232027,0.0,232027.0
갈현2동,245983,0.0,245983.0
강일동,262007,0.0,262007.0
개봉1동,523111,0.0,523111.0
개봉2동,312685,0.0,312685.0
개봉3동,123892,0.0,123892.0
개포1동,103771,0.0,103771.0
개포2동,298994,0.0,298994.0
개포3동,54498,15016.0,69514.0
개포4동,186882,0.0,186882.0
거여1동,82529,15684.0,98213.0
거여2동,107255,0.0,107255.0
고덕1동,88251,16065.0,104316.0
고덕2동,157730,0.0,157730.0
고척1동,370898,0.0,370898.0
고척2동,240770,0.0,240770.0
공덕동,375762,23505.0,399267.0
공릉1동,258054,38366.0,296420.0
공릉2동,358885,15028.0,373913.0
공항동,197491,42277.0,239768.0
광장동,140989,21269.0,162258.0
광희동,359045,53269.0,412314.0
교남동,205542,0.0,205542.0
구로1동,106695,0.0,106695.0
구로2동,610995,0.0,610995.0
구로3동,393819,96511.0,490330.0
구로4동,269506,33733.0,303239.0
구로5동,473423,0.0,473423.0
구산동,187992,10325.0,198317.0
구의1동,172567,0.0,172567.0
구의2동,231042,0.0,231042.0
구의3동,199595,49474.0,249069.0
군자동,289370,0.0,289370.0
금호1가동,135141,0.0,135141.0
금호2.3가동,162597,9856.0,172453.0
금호4가동,174719,11775.0,186494.0
길동,275081,13478.0,288559.0
길음1동,525496,30866.0,556362.0
길음2동,389862,0.0,389862.0
낙성대동,650121,0.0,650121.0
난곡동,239565,0.0,239565.0
난향동,142127,0.0,142127.0
남가좌1동,193231,0.0,193231.0
남가좌2동,359485,0.0,359485.0
남영동,536959,42519.0,579478.0
남현동,176841,61900.0,238741.0
내곡동,184435,0.0,184435.0
노량진1동,806681,39379.0,846060.0
노량진2동,276751,0.0,276751.0
녹번동,377771,28299.0,406070.0
논현1동,509055,64726.0,573781.0
논현2동,417718,45483.0,463201.0
능동,212958,40421.0,253379.0
다산동,99698,5843.0,105541.0
답십리1동,260722,0.0,260722.0
답십리2동,258731,0.0,258731.0
당산1동,243319,35334.0,278653.0
당산2동,503083,56897.0,559980.0
대림1동,240085,0.0,240085.0
대림2동,135118,0.0,135118.0
대림3동,211789,10319.0,222108.0
대방동,494306,40275.0,534581.0
대조동,525503,30948.0,556451.0
대치1동,371196,0.0,371196.0
대치2동,596425,22881.0,619306.0
대치4동,419553,0.0,419553.0
대학동,476271,5404.0,481675.0
대흥동,441040,35359.0,476399.0
도곡1동,386892,16620.0,403512.0
도곡2동,250530,7338.0,257868.0
도림동,182128,0.0,182128.0
도봉1동,168930,0.0,168930.0
도봉2동,258740,14028.0,272768.0
도화동,241950,0.0,241950.0
독산1동,695982,0.0,695982.0
독산2동,226494,0.0,226494.0
독산3동,435023,0.0,435023.0
독산4동,169603,0.0,169603.0
돈암1동,259383,0.0,259383.0
돈암2동,195027,0.0,195027.0
동선동,511138,0.0,511138.0
동화동,33617,0.0,33617.0
둔촌1동,50715,1676.0,52391.0
둔촌2동,221024,15888.0,236912.0
등촌1동,283251,26801.0,310052.0
등촌2동,245654,0.0,245654.0
등촌3동,392391,0.0,392391.0
마장동,203242,8614.0,211856.0
마천1동,82753,11125.0,93878.0
마천2동,168798,0.0,168798.0
망우3동,125784,0.0,125784.0
망우본동,515661,1.0,515662.0
망원1동,130552,0.0,130552.0
망원2동,167964,0.0,167964.0
면목2동,168077,0.0,168077.0
면목4동,146212,8514.0,154726.0
면목5동,132127,0.0,132127.0
면목7동,223926,0.0,223926.0
면목본동,388257,21458.0,409715.0
면목제3.8동,280490,0.0,280490.0
명동,717843,114389.0,832232.0
명일1동,199695,30111.0,229806.0
명일2동,113657,0.0,113657.0
목1동,613824,59254.0,673078.0
목2동,228451,5765.0,234216.0
목3동,283297,0.0,283297.0
목4동,245857,0.0,245857.0
목5동,437958,0.0,437958.0
무악동,60335,0.0,60335.0
묵1동,241739,14996.0,256735.0
묵2동,80101,0.0,80101.0
문래동,402837,30035.0,432872.0
문정1동,159953,0.0,159953.0
문정2동,282737,53540.0,336277.0
미성동,456104,0.0,456104.0
미아동,297487,21859.0,319346.0
반포1동,308140,14168.0,322308.0
반포2동,208654,5217.0,213871.0
반포3동,314473,0.0,314473.0
반포4동,487636,123032.0,610668.0
반포본동,68355,1482.0,69837.0
발산1동,359568,0.0,359568.0
방배1동,213108,19784.0,232892.0
방배2동,314508,1734.0,316242.0
방배3동,264948,23214.0,288162.0
방배4동,302736,0.0,302736.0
방배본동,158447,0.0,158447.0
방이1동,91828,12017.0,103845.0
방이2동,219768,8905.0,228673.0
방학1동,320723,0.0,320723.0
방학2동,154604,0.0,154604.0
방학3동,188252,0.0,188252.0
방화1동,155688,9273.0,164961.0
