"adzn_id","adzn_nm","adzn_area","park_cnt","park_rt"
"1111051500","청운효자동",2.5665,2,70.44
"1111053000","사직동",1.1577,6,24.26
"1111054000","삼청동",1.4781,2,90.34
"1111055000","부암동",2.273,0,0
"1111056000","평창동",8.9407,5,0.1
"1111057000","무악동",0.3693,2,1.87
"1111058000","교남동",0.3467,1,3.09
"1111060000","가회동",0.5396,1,1.85
"1111061500","종로1.2.3.4가동",2.4153,6,21.87
"1111063000","종로5.6가동",0.6027,2,0.55
"1111064000","이화동",0.7818,2,26.55
"1111065000","혜화동",1.1316,3,18.75
"1111067000","창신제1동",0.3051,0,0
"1111068000","창신제2동",0.2571,2,4.75
"1111069000","창신제3동",0.2167,3,1.89
"1111070000","숭인제1동",0.2392,1,19.06
"1111071000","숭인제2동",0.3516,1,2.39
"1114052000","소공동",0.9431,6,1.74
"1114054000","회현동",0.8971,0,0
"1114055000","명동",0.969,8,0.9
"1114057000","필동",1.4634,1,0.28
"1114058000","장충동",1.0172,0,0
"1114059000","광희동",0.7369,3,0.76
"1114060500","을지로동",0.6111,1,2.73
"1114061500","신당동",0.5345,0,0
"1114062500","다산동",0.5236,3,0.44
"1114063500","약수동",0.486,1,22.16
"1114064500","청구동",0.3423,1,0.5
"1114065000","신당제5동",0.3195,2,5.1
"1114066500","동화동",0.3268,2,1.71
"1114067000","황학동",0.3284,1,0.33
"1114068000","중림동",0.484,4,11.49
"1117051000","후암동",0.8652,2,0.29
"1117052000","용산2가동",0,0,0
"1117053000","남영동",1.1769,3,0.44
"1117055500","청파동",0.8856,3,1.36
"1117056000","원효로제1동",0.5886,5,3.3
"1117057000","원효로제2동",0.7085,2,0.37
"1117058000","효창동",0.4459,2,38.53
"1117059000","용문동",0.2773,1,0.54
"1117062500","한강로동",2.8677,5,0.61
"1117063000","이촌제1동",2.8706,9,0.45
"1117064000","이촌제2동",1.2046,1,0.04
"1117065000","이태원제1동",0.5825,2,0.39
"1117066000","이태원제2동",0.8736,3,0.62
"1117068500","한남동",0,0,0
"1117069000","서빙고동",2.8198,3,5.15
"1117070000","보광동",0.7146,0,0
"1120052000","왕십리제2동",0.3721,4,9.46
