과정명,도로명주소,행정동,위도,경도
[월드컵공원] 노을키친가든 &quot;노을고구마가족&quot; ,서울특별시 마포구 하늘공원로 108,상암동,37.56978,126.87973
[성동구] 쌈채소키트 보급사업 참여자 모집,서울특별시 성동구 고산자로 270,행당1동,37.56292,127.03712
[관악구] 친환경 상자텃밭 분양,서울특별시 관악구 낙성대로 96,낙성대동,37.47009,126.95756
[구로구] 상자텃밭 분양 ,서울특별시 구로구 가마산로 245,구로2동,37.49585,126.88786
[금천구] 상자텃밭 신청,서울특별시 금천구 시흥동 1020,시흥1동,37.45707,126.89604
[관악구][개인] 친환경 퇴비 지원사업,서울특별시 관악구 봉천동 259-1,낙성대동,37.4712,126.95775
[관악구][단체]관악구 친환경 퇴비 지원,서울특별시 관악구 낙성대로 96,낙성대동,37.47009,126.95756
[동작구] 2023년 상자텃밭 분양 ,서울특별시 동작구 노량진로 47,대방동,37.51373,126.93035
[송파구] 1가구 1텃밭 가꾸기 &lsquo;상자텃밭&rsquo; ,서울특별시 송파구 올림픽로 326,잠실6동,37.51501,127.10666
[서대문구] 상자텃밭 모집 ,서울특별시 서대문구 연희동 169-16,연희동,37.57935,126.936
[마포구] 상자텃밭 보급사업 참여자 공개 모집,서울특별시 마포구 성산동 370,성산2동,37.56638,126.90298
(단체)2023년 관악구 친환경 퇴비 지원,서울특별시 관악구 봉천동 259-1,낙성대동,37.4712,126.95775
[강동구] 상자텃밭 보급 사업 신청자 모집,서울특별시 강동구 성내동 535-8,성내1동,37.53059,127.12382
[강남구]  상자텃밭 분양,서울특별시 강남구 세곡동 13-4,세곡동,37.46381,127.12063
[강북구] 강북 도시농업 체험장 텃밭 분양 ,서울특별시 강북구 도봉로89길 13,수유3동,37.63915,127.02539
 &#39;노을 도시농부 가족&#39; 참여자 모집,서울특별시 마포구 하늘공원로 108,상암동,37.56978,126.87973
서울어린이대공원 어린이텃밭 분양,서울특별시 성동구 청계천로 540,마장동,37.57153,127.03562
[종로구] 2023년 상자텃밭 분양,서울특별시 종로구 종로1길 36,종로1.2.3.4가동,37.57366,126.97878
[강북구] 2023년 상자텃밭 신청,"서울특별시 강북구 도봉로89길 13, 강북구청 ",수유3동,37.63915,127.02539
[은평구]2023 상자텃밭 보급사업 실시,서울특별시 은평구 은평로 195(녹번동),녹번동,37.56312,126.97495
2023년 동행서울 친환경농장 참여자 모집,경기도 남양주시 조안면 송촌리 964,조안면,37.57924,127.31352
[도봉구] 상자텃밭 세트 보급 신청,서울특별시 도봉구 마들로 656,방학1동,37.66891,127.04644
[중랑구] 유아들과 함께하는 배나무 분양,서울특별시 중랑구 봉화산로 179,신내2동,37.60738,127.09298
[강동구] 친환경 도시텃밭 신청 안내 ,서울특별시 강동구 강일동 33-3,강일동,37.57848,127.17562
[강서구] 행복드림 상자텃밭 신청,서울특별시 강서구 화곡로 302,화곡6동,37.55135,126.84944
[강서구] 오곡텃밭농장 신청,서울특별시 강서구 오곡동 417-2,공항동,37.55757,126.78014
친환경 나눔텃밭 분양안내(산새마을 텃밭),서울특별시 은평구 신사동 산 51-3,신사2동,37.59632,126.9038
친환경 나눔텃밭 분양안내(향림도시농업체험원내),서울특별시 은평구 연서로43길 16-15,불광2동,37.628,126.92671
[중랑구] 행복농장 1&middot;2&middot;3&middot;4농장 분양,서울특별시 중랑구 신내동 256-9,신내1동,37.61809,127.1087
(성북구 석관동) 도시텃밭 분양 신청,서울특별시 성북구 석관동 14-5,석관동,37.6119,127.06789
[성북구] 어린이 텃밭 네트워크 모집안내,서울특별시 성북구 석관동 14-5,석관동,37.6119,127.06789
[영등포 문래동] 공공공지 도시텃밭 모집 안내,서울특별시 영등포구 문래동3가 55-6,문래동,37.51838,126.89928
