지역구,행정동,사업체수 (개),종사자수 (명)
종로구,사직동,5035,56013
종로구,삼청동,956,4978
종로구,부암동,894,3762
종로구,평창동,1321,4321
종로구,무악동,761,1891
종로구,교남동,592,8371
종로구,가회동,969,14180
종로구,종로1.2.3.4가동,17286,107067
종로구,종로5.6가동,7972,22872
종로구,이화동,1673,17365
종로구,창신1동,2686,6266
종로구,창신2동,1062,2192
종로구,창신3동,439,1128
종로구,숭인1동,736,1897
종로구,숭인2동,2267,6053
종로구,청운효자동,1477,7888
종로구,혜화동,2235,8819
중구,소공동,5107,64308
중구,회현동,9246,46229
중구,명동,8849,110506
중구,필동,3600,24470
중구,장충동,1041,9357
중구,광희동,9352,34741
중구,을지로동,9784,31528
중구,신당5동,1552,4149
중구,황학동,2487,5992
중구,중림동,1340,9166
중구,신당동,12136,23988
중구,다산동,2023,8723
중구,약수동,1210,4519
중구,청구동,1244,4497
중구,동화동,1337,4391
용산구,후암동,1367,4605
용산구,용산2가동,844,2129
용산구,남영동,2245,18439
용산구,원효로2동,1564,7229
용산구,효창동,702,2596
용산구,용문동,963,2159
용산구,이촌1동,1387,4107
용산구,이촌2동,558,1183
용산구,이태원1동,1871,6544
용산구,이태원2동,1285,3282
용산구,서빙고동,777,6126
용산구,보광동,1155,2365
용산구,청파동,2186,9850
용산구,원효로1동,2634,12179
용산구,한강로동,6669,48562
용산구,한남동,3473,21250
성동구,왕십리2동,1232,2948
성동구,마장동,4030,12518
성동구,사근동,1310,10537
성동구,행당1동,1578,9587
성동구,행당2동,1031,2412
성동구,응봉동,682,1162
성동구,금호1가동,927,2416
성동구,금호4가동,999,2294
성동구,성수1가1동,2982,14473
성동구,성수1가2동,4784,26199
성동구,성수2가1동,3557,20402
성동구,성수2가3동,8853,63385
성동구,송정동,1005,2879
성동구,용답동,2497,12834
성동구,왕십리도선동,3234,11495
성동구,금호2.3가동,1458,2963
성동구,옥수동,1506,4717
광진구,화양동,3072,16195
광진구,군자동,2389,9834
광진구,중곡1동,2152,6363
광진구,중곡2동,2350,7380
광진구,중곡3동,1764,5019
광진구,중곡4동,1707,4257
광진구,능동,1214,6229
광진구,구의1동,2623,7443
광진구,구의2동,1929,5989
광진구,구의3동,3708,16217
광진구,광장동,2180,14269
광진구,자양1동,2303,9645
광진구,자양2동,2196,7033
광진구,자양3동,1922,7600
광진구,자양4동,2197,6234
동대문구,회기동,1293,10348
동대문구,휘경1동,1285,3690
동대문구,휘경2동,1665,5457
동대문구,청량리동,1909,8278
동대문구,용신동,6982,30470
동대문구,제기동,5355,13094
동대문구,전농1동,3020,7638
동대문구,전농2동,1358,5460
동대문구,답십리1동,3799,9651
동대문구,답십리2동,2847,8207
동대문구,장안1동,6654,22326
동대문구,장안2동,3956,12725
동대문구,이문1동,1641,6654
동대문구,이문2동,1049,2385
중랑구,면목2동,2477,5975
중랑구,면목4동,2568,4971
중랑구,면목5동,1161,3336
중랑구,면목7동,1957,4800
중랑구,상봉1동,1952,6705
중랑구,상봉2동,3344,9431
중랑구,중화1동,1565,4476
중랑구,중화2동,2584,7044
중랑구,묵1동,2326,6252
중랑구,묵2동,2393,4973
중랑구,망우3동,1507,4272
중랑구,신내1동,3257,15420
중랑구,신내2동,1556,7186
중랑구,면목본동,3481,7511
중랑구,면목3.8동,2776,7878
중랑구,망우본동,4406,12914
성북구,돈암1동,688,2087
성북구,돈암2동,909,2893
성북구,안암동,1927,14353
성북구,보문동,1787,6720
성북구,정릉1동,1275,2752
성북구,정릉2동,1422,3344
성북구,정릉3동,1042,5404
성북구,정릉4동,1524,5018
성북구,길음1동,1583,4419
성북구,길음2동,1696,5554
성북구,월곡1동,1841,5848
성북구,월곡2동,2162,11083
성북구,장위1동,1532,3104
성북구,장위2동,1538,3865
성북구,장위3동,877,2429
성북구,성북동,1790,6288
성북구,삼선동,2507,11157
성북구,동선동,2682,10483
성북구,종암동,2858,8433
성북구,석관동,3072,8770
강북구,번1동,2486,10192
강북구,번2동,912,3732
강북구,번3동,1126,3302
강북구,수유1동,2031,5815
강북구,수유2동,1828,4637
강북구,수유3동,3235,9873
강북구,삼양동,1562,4104
강북구,미아동,2337,6971
강북구,송중동,3022,8752
강북구,송천동,2658,7730
강북구,삼각산동,1405,2949
강북구,우이동,1557,5515
강북구,인수동,2226,6650
도봉구,쌍문1동,1457,4787
도봉구,쌍문2동,1680,5781
도봉구,쌍문3동,1307,4323
도봉구,쌍문4동,907,2236
도봉구,방학1동,2996,13758
도봉구,방학2동,1576,3226
도봉구,방학3동,1476,3861
도봉구,창1동,2141,4381
도봉구,창2동,2020,4978
도봉구,창3동,1241,2511
도봉구,창4동,1861,7981
도봉구,창5동,2547,7316
도봉구,도봉1동,2147,6178
도봉구,도봉2동,2035,7780
노원구,월계1동,1921,6647
노원구,월계2동,1436,3961
노원구,월계3동,1536,4525
노원구,공릉2동,2754,13078
노원구,하계1동,1615,8965
노원구,하계2동,778,1687
노원구,중계본동,1724,5840
노원구,중계1동,1470,4522
노원구,중계4동,1410,4285
노원구,상계1동,3934,11608
노원구,상계2동,3325,11074
노원구,상계5동,2755,6516
노원구,상계8동,824,1943
노원구,상계9동,1036,2848
노원구,상계10동,818,2515
노원구,상계3.4동,1849,4821
노원구,상계6.7동,2685,18222
노원구,중계2.3동,2047,5777
노원구,공릉1동,3992,14564
은평구,녹번동,3045,13682
은평구,불광1동,2408,7000
은평구,갈현1동,2038,5306
은평구,갈현2동,2344,6776
은평구,구산동,1996,6219
은평구,대조동,3363,7968
은평구,응암1동,2605,8853
은평구,응암2동,1284,3096
은평구,신사1동,1986,5162
은평구,신사2동,2060,4261
은평구,증산동,1345,4363
은평구,수색동,791,2760
은평구,진관동,3137,13270
은평구,불광2동,1924,4933
