유치원명,주소,행정동,위도,경도
서울신구유치원,서울특별시 강남구 압구정로18길 28,신사동,37.5236292,127.0249963
서울세명유치원,서울특별시 강남구 자곡로 55,세곡동,37.4652137,127.0952705
서울언주초등학교병설유치원,서울특별시 강남구 남부순환로363길 19,도곡1동,37.4857167,127.0378493
서울개원초등학교병설유치원,서울특별시 강남구 선릉로 29,개포1동,37.4814065,127.0585138791847
도곡렉슬유치원,서울특별시 강남구 선릉로 221,도곡2동,37.4942173,127.0497541
영동제일유치원,서울특별시 강남구 삼성로120길 28,삼성1동,37.5167838,127.0534321
서울수서초등학교병설유치원,서울특별시 강남구 광평로51길 46,수서동,37.4884642,127.1035054
선경유치원,서울특별시 강남구 삼성로 151,대치1동,37.4931449,127.0629809
신아유치원,서울특별시 강남구 개포로110길 15,개포3동,37.49224035,127.0769193419551
서울도곡초등학교병설유치원,서울특별시 강남구 선릉로64길 33,대치4동,37.49904435000001,127.0546963079526
청담몬테소리유치원,서울특별시 강남구 학동로67길 15,청담동,37.5193054,127.0467085
남부유치원,서울특별시 강남구 언주로 123,도곡2동,37.5207957,127.0342812
서울역삼초등학교병설유치원,서울특별시 강남구 강남대로66길 21,역삼1동,37.4918579,127.0316693
푸른유치원,서울특별시 강남구 일원로14길 25,일원본동,37.4853369,127.0822359
신우주유치원,서울특별시 강남구 일원로 120,일원본동,37.48705,127.08263
서울자곡초등학교병설유치원,서울특별시 강남구 자곡로 150,세곡동,37.4652137,127.0952705
서울대왕초등학교병설유치원,서울특별시 강남구 헌릉로618길 8,세곡동,37.463676,127.1063516
하늘빛유치원,서울특별시 강남구 양재대로55길 12,일원1동,37.490633,127.0883533
돌샘유치원,서울특별시 강남구 개포로 516,개포2동,37.48913425,127.0708907886785
럭키유치원,서울특별시 강남구 논현로 213,도곡1동,37.49033915,127.0408929995941
리라유치원,서울특별시 강남구 광평로19길 15,일원본동,37.4849236,127.0840526949334
묘동유치원,서울특별시 강남구 도곡로78길 8,대치1동,37.49740335,127.0587643349875
초원유치원,서울특별시 강남구 논현로14길 17,개포4동,37.4751995,127.0478153
아란유치원,서울특별시 강남구 압구정로 201,압구정동,37.5303548,127.0296135
서울율현초등학교병설유치원,서울특별시 강남구 밤고개로21길 15,세곡동,37.47456655000001,127.1083008835486
서울논현초등학교병설유치원,서울특별시 강남구 강남대로120길 33,논현1동,37.5076284,127.0284892
오즈의마법사유치원,서울특별시 강남구 헌릉로618길 14,세곡동,37.463676,127.1063516
반디유치원,서울특별시 강남구 광평로47길 17,수서동,37.4871225,127.1001529
이화유치원,서울특별시 강남구 개포로109길 5,개포3동,37.4923339,127.0746135055429
청운교회부설유치원,서울특별시 강남구 언주로65길 5,역삼2동,37.4951223,127.0445332
서울개포유치원,서울특별시 강남구 삼성로4길 20,개포2동,37.4866181,127.0689921
서울대현초등학교병설유치원,서울특별시 강남구 역삼로98길 16,대치2동,37.5035035,127.0647166
성결유치원,서울특별시 강남구 언주로121길 5,논현2동,37.5115673,127.0349259
성요셉유치원,서울특별시 강남구 압구정로77길 28,청담동,37.5270514,127.0481642
소망유치원,서울특별시 강남구 광평로56길 11,수서동,37.4872971,127.1040002
서울은곡유치원,서울특별시 강남구 헌릉로569길 41,세곡동,37.466595,127.1003955
강남유정유치원,서울특별시 강남구 광평로34길 17,수서동,37.4815213,127.0917406
서울영희초등학교병설유치원,서울특별시 강남구 일원로 21,일원1동,37.4919919,127.0812822401793
서울청담초등학교병설유치원,서울특별시 강남구 압구정로71길 9,청담동,37.5284091,127.0470335
서울포이초등학교병설유치원,서울특별시 강남구 개포로22길 87,개포4동,37.4756705,127.0524702724119
