상호명,도로명주소,행정동,위도,경도
더금하제로마켓,서울특별시 금천구 금하로1다길 16,독산1동,37.452988185,126.891430758
서울시의회 의원회관,서울특별시 중구 덕수궁길 15,소공동,37.564593041,126.974741882
노들섬C(올두바이),서울특별시 용산구 양녕로 445,이촌2동,37.51766,126.95804
서대문구청,서울특별시 서대문구 연희로 248,연희동,37.57912,126.93677
제로웨이스트샵안녕상점,서울특별시 도봉구 도봉로143길 18,방학1동,37.66187976,127.041208847
용두문화복지센터 (북카페),서울특별시 동대문구 고산자로28길 13,용신동,37.57532,127.03917
행복중심생협_새록 공릉점,서울특별시 노원구 공릉로34길 23,공릉2동,37.622943726,127.080319265
카페블럭,서울특별시 광진구 자양로11길 10,자양1동,37.5348,127.08345
숭의여대 음악당_드림스퀘어(카페),서울특별시 중구 소파로2길 10,필동,37.55786,126.9875
노들섬B,서울특별시 용산구 양녕로 445,이촌2동,37.51766,126.95804
스타벅스 을지로삼화타워점,서울특별시 중구 을지로5길 16,명동,37.56695,126.98492
알맹상점 리스테이션,서울특별시 중구 한강대로 405,회현동,37.554498838,126.971400314
공간1616(노느매기),서울특별시 영등포구 당산로16길 16,당산1동,37.522479352,126.897704245
노들섬D,서울특별시 용산구 양녕로 445,이촌2동,37.51766,126.95804
노원구청,서울특별시 노원구 노해로 437,상계6.7동,37.65451,127.05628
얼스어스 서촌점,서울특별시 종로구 자하문로28가길 1,청운효자동,37.585316815,126.971258879
두레생협(진관점),서울특별시 은평구 진관3로 67,진관동,37.640807611,126.92109303
라데팡스,서울특별시 강서구 마곡중앙6로 45,가양1동,37.56063,126.83272
커피에이엠,서울특별시 강서구 화곡로 296,화곡6동,37.55058,126.84905
음밥,서울특별시 강북구 솔매로50길 78,송중동,37.623099333,127.028129447
심비디움,서울특별시 종로구 종로 19,종로1.2.3.4가동,37.57083,126.97986
행복플러스,서울특별시 중구 세종대로 110,명동,37.566657701,126.978360962
제로웨이스트샵안녕상점,서울특별시 도봉구 도봉로143길 18,방학1동,37.661847951,127.041178536
카페 일마지오 본점_사내카페,서울특별시 영등포구 선유로 165,양평1동,37.52858,126.89157
비안빈,서울특별시 마포구 상암산로 76,상암동,37.57913,126.89237
더데일리카페인을지로,서울특별시 중구 마른내로2길 6,을지로동,37.56415,126.99239
서소문청사 후생동 (네스카페),서울특별시 중구 덕수궁길 15,소공동,37.564627092,126.974294379
서초구청,서울특별시 서초구 남부순환로 2584,서초2동,37.48364,127.03268
두레생협(백련산점),서울특별시 은평구 응암로22길 21,응암2동,37.593633791,126.920548929
플립커피로스터스,서울특별시 강서구 마곡중앙6로 45,가양1동,37.56063,126.83272
두레생협(종암점),서울특별시 성북구 종암로21길 124,종암동,37.60340962,127.03061323
다-용도실,서울특별시 은평구 연서로20길 17,대조동,37.614077868,126.919933605
Walking on Sunshine,서울특별시 성북구 보문로30가길 17,동선동,37.589371645,127.020674236
애니원FNC _사내카페,서울특별시 강남구 논현로99길 24,역삼1동,37.50347,127.03336
로담,서울특별시 강북구 도봉로89길 9,수유3동,37.639081279,127.025872201
노들섬A(노들펍),서울특별시 용산구 양녕로 445,이촌2동,37.51766,126.95804
토프레소(호서 발산점),서울특별시 강서구 강서로 63,화곡1동,37.53323,126.84554
GS25 DX LAB점,서울특별시 강남구 테헤란로 223,역삼1동,37.5024,127.04069
잼파파,서울특별시 강북구 한천로 1040,수유3동,37.640307044,127.026670081
스타벅스 한국프레스센터점,서울특별시 중구 세종대로 124,명동,37.56742,126.97789
동네방네,서울특별시 노원구 한글비석로24라길 87,상계5동,37.665704082,127.069585312
휘카페,서울특별시 동대문구 서울시립대로 117,전농1동,37.581077975,127.051419581
은평구청,서울특별시 은평구 은평로 195,녹번동,37.60246,126.92884
두레생협(응암역점),서울특별시 은평구 연서로 9,역촌동,37.600008363,126.915682007
더테이블,서울특별시 중구 을지로 65,명동,37.56648742,126.984936922
영그램,서울특별시 노원구 동일로182길 63-3,공릉1동,37.623697453,127.077568172
꿈꾸는 고래,서울특별시 은평구 갈현로9길 5-16,역촌동,37.604340696,126.909702562
행복중심생협_새록 중계점,서울특별시 노원구 노원로22길 77,중계1동,37.64774495,127.074549874
노원구청 카페_노원437,서울특별시 노원구 노해로 437,상계6.7동,37.65451,127.05628
마을과마디_새록,서울특별시 노원구 화랑로 464,공릉1동,37.618552543,127.078900615
잠실야구장 01~20,서울특별시 송파구 올림픽로 19-2,잠실2동,37.51125,127.07286
양천구청 카페_도담,서울특별시 양천구 목동동로 105,신정6동,37.51706,126.86655
스타벅스 을지로내외빌딩R점,서울특별시 중구 을지로 51,명동,37.5665,126.9837
휘펍,서울특별시 강서구 강서로56가길 63,등촌3동,37.5624115,126.8403738
THE YOUNG(더영),서울특별시 마포구 매봉산로 75,상암동,37.57852,126.89295
