학교명,주소,행정동,위도,경도
서울숭신초등학교,서울특별시 성동구 마장로 161,왕십리도선동,37.5662545,127.0351564
한양초등학교,서울특별시 성동구 살곶이길 208,사근동,37.57077,127.04234
세종초등학교,서울특별시 광진구 군자로 114,군자동,37.5441637,127.0717888
성동초등학교,서울특별시 광진구 자양로4길 63,자양2동,37.5323738,127.0883773
서울행현초등학교,서울특별시 성동구 행당로 95,행당2동,37.55563,127.02528
서울행당초등학교,서울특별시 성동구 고산자로8길 6,행당1동,37.5585626,127.0373084
서울중마초등학교,서울특별시 광진구 동일로72길 43,중곡3동,37.5658243,127.0796769
서울중광초등학교,서울특별시 광진구 긴고랑로13길 59,중곡3동,37.5631813,127.0819859
서울장안초등학교,서울특별시 광진구 군자로 74,군자동,37.5539538,127.0749388
서울자양초등학교,서울특별시 광진구 아차산로44길 26,자양1동,37.5362057,127.0802355
서울응봉초등학교,서울특별시 성동구 독서당로62길 28,응봉동,37.5496982,127.0315484
서울용마초등학교,서울특별시 광진구 천호대로113길 10,중곡2동,37.558182,127.0846013
서울용답초등학교,서울특별시 성동구 용답25길 1,용답동,37.5612027,127.0542025
서울용곡초등학교,서울특별시 광진구 용마산로22길 82,중곡4동,37.5652341,127.087498
서울옥정초등학교,서울특별시 성동구 한림말길 43,옥수동,37.5405673,127.0133581
서울옥수초등학교,서울특별시 성동구 금호로1길 25,금호4가동,37.5479869,127.0240138
서울양진초등학교,서울특별시 광진구 워커힐로 32,광장동,37.5463039,127.0980181
서울양남초등학교,서울특별시 광진구 뚝섬로64길 71,자양2동,37.5330439,127.0888302
서울신자초등학교,서울특별시 광진구 뚝섬로46길 64,자양2동,37.5313264,127.0765933
서울신양초등학교,서울특별시 광진구 능동로 42,자양3동,37.5339134,127.0679261
서울송원초등학교,서울특별시 성동구 동일로43길 9,송정동,37.5549166,127.069682
서울성자초등학교,서울특별시 광진구 뚝섬로56길 7,자양2동,37.5298042,127.0821658
서울성수초등학교,서울특별시 성동구 아차산로17길 21,성수2가3동,37.5442441,127.0634367
서울사근초등학교,서울특별시 성동구 사근동11길 16,사근동,37.5631097,127.0468698
서울무학초등학교,서울특별시 성동구 무학봉15길 21,왕십리2동,37.5626006,127.03076
서울마장초등학교,서울특별시 성동구 마장로35나길 31,마장동,37.5689129,127.0403192
서울동호초등학교,서울특별시 성동구 매봉길 49-35,옥수동,37.5459337,127.0158342
서울동자초등학교,서울특별시 광진구 뚝섬로 561,자양3동,37.53225,127.07886
서울동의초등학교,서울특별시 광진구 영화사로 111,구의2동,37.5546912,127.0962488
서울동명초등학교,서울특별시 성동구 마장로29길 29,마장동,37.5686792,127.036496
서울금호초등학교,서울특별시 성동구 무수막길 69,금호2.3가동,37.5509035,127.0231576
서울금옥초등학교,서울특별시 성동구 독서당로 251,금호4가동,37.5538073,127.0335861
서울금북초등학교,서울특별시 성동구 행당로1길 13,금호1가동,37.5560069,127.0240787
서울구의초등학교,서울특별시 광진구 광나루로30길 49,화양동,37.5433624,127.0815049
서울구남초등학교,서울특별시 광진구 구의강변로 69,구의3동,37.5386365,127.0938977
서울광진초등학교,서울특별시 광진구 자양로40길 41,구의2동,37.547771,127.0902816
서울광장초등학교,서울특별시 광진구 광장로1길 27,광장동,37.5474391,127.1022341
서울광남초등학교,서울특별시 광진구 아차산로70길 35,광장동,37.5415459,127.1024404
서울경일초등학교,서울특별시 성동구 뚝섬로 332,성수1가1동,37.5439495,127.0361144
서울경수초등학교,서울특별시 성동구 뚝섬로13길 22,성수2가1동,37.5398453,127.0577343
서울경동초등학교,서울특별시 성동구 성수일로 34,성수1가1동,37.5469835,127.0509327
경복초등학교,서울특별시 광진구 천호대로130길 58,능동,37.5495265,127.0878389
중앙대학교사범대학부속초등학교,서울특별시 동작구 서달로 135,흑석동,37.504266,126.9607704
서울흑석초등학교,서울특별시 동작구 현충로 87,흑석동,37.501805,126.9806206
서울행림초등학교,서울특별시 동작구 솔밭로 47,사당5동,37.4854348,126.9681859
서울청룡초등학교,서울특별시 관악구 관악로5길 61,청룡동,37.4753839,126.9518159
서울조원초등학교,서울특별시 관악구 조원로 67,조원동,37.4853076,126.91645
서울인헌초등학교,서울특별시 관악구 낙성대로 23,낙성대동,37.476626,126.9599395
서울은천초등학교,서울특별시 관악구 은천로 69,은천동,37.4868596,126.9477174
서울은로초등학교,서울특별시 동작구 서달로 115,흑석동,37.504266,126.9607704
서울원신초등학교,서울특별시 관악구 광신길 177,삼성동,37.4668433,126.9273776
서울원당초등학교,서울특별시 관악구 봉천로 505,행운동,37.48101915,126.9561924
서울영화초등학교,서울특별시 동작구 등용로8길 3,대방동,37.5070143,126.933918
서울영본초등학교,서울특별시 동작구 만양로12가길 69,노량진1동,37.5115687,126.9482296
서울신우초등학교,서울특별시 관악구 호암로 498,삼성동,37.46277445,126.9323913
서울신성초등학교,서울특별시 관악구 신림로 114,서림동,37.4709068,126.9419211
서울신상도초등학교,서울특별시 동작구 장승배기로 14,상도2동,37.5132134,126.9402084
서울신봉초등학교,서울특별시 관악구 양녕로6나길 1,중앙동,37.485093,126.9493046
서울신림초등학교,서울특별시 관악구 문성로28길 31,신원동,37.47732345,126.9274477
서울신남성초등학교,서울특별시 동작구 사당로 146,사당5동,37.4844823,126.9795463
서울신길초등학교,서울특별시 동작구 알마타길 16,대방동,37.51040245,126.9265609
서울상현초등학교,서울특별시 동작구 상도로58길 21,상도1동,37.4949566,126.9520593
서울상도초등학교,서울특별시 동작구 성대로21길 62,상도4동,37.5007393,126.9367602
서울삼일초등학교,서울특별시 동작구 사당로23나길 27,사당3동,37.48775,126.975329
서울삼성초등학교,서울특별시 관악구 대학7길 52,대학동,37.4683806,126.9392647
서울사당초등학교,서울특별시 관악구 남현4길 51,남현동,37.4749954,126.9751624
서울봉현초등학교,서울특별시 관악구 성현로 117,성현동,37.4930021,126.9455286
서울봉천초등학교,서울특별시 관악구 행운1라길 17,행운동,37.4815265,126.9584837
서울본동초등학교,서울특별시 동작구 노량진로26길 16-40,노량진1동,37.5108158,126.9551169
서울보라매초등학교,서울특별시 동작구 여의대방로16길 30,신대방2동,37.4943788,126.9164443
서울미성초등학교,서울특별시 관악구 문성로 79,미성동,37.4781522,126.9190499
서울문창초등학교,서울특별시 동작구 신대방2길 14,신대방1동,37.4884731,126.913178
서울동작초등학교,서울특별시 동작구 동작대로29길 214,사당2동,37.4882432,126.9798002
서울대림초등학교,서울특별시 동작구 대방동1길 22,대방동,37.5003177,126.9240454
서울당곡초등학교,서울특별시 관악구 보라매로2길 23,보라매동,37.4900131,126.9290641
서울노량진초등학교,서울특별시 동작구 장승배기로 160,노량진1동,37.5051786,126.9393996
서울남성초등학교,서울특별시 동작구 사당로23길 57-14,사당3동,37.4859266,126.9754425
서울남사초등학교,서울특별시 동작구 동작대로13길 22,사당1동,37.4825309,126.9788723
서울남부초등학교,서울특별시 관악구 남부순환로163길 14,신사동,37.485149,126.9212822
서울난향초등학교,서울특별시 관악구 난향길 9,난향동,37.4623576,126.9162913
서울난우초등학교,서울특별시 관악구 난우길 40,미성동,37.47695315,126.9176629
서울난곡초등학교,서울특별시 관악구 난곡로35길 102,난곡동,37.4694693,126.9168376
서울구암초등학교,서울특별시 관악구 구암길 1,성현동,37.4898891,126.9465925
서울관악초등학교,서울 관악구 청룡4길 49,청룡동,37.4805626,126.9432619
서울강남초등학교,서울특별시 동작구 강남초등길 15,상도1동,37.5060831,126.9521762
서울위례솔초등학교,서울특별시 송파구 위례북로2길 12,위례동,0,0
서울강빛초등학교,서울특별시 강동구 아리수로93다길 1,강일동,37.5742075,127.1734422
서울고현초등학교,서울특별시 강동구 상일로11길 110,상일1동,37.5535622,127.1687411
서울해누리초등학교,서울특별시 송파구 송파대로37길 95,가락1동,37.4983436,127.1025969
서울강솔초등학교,서울특별시 강동구 고덕로97길 80,강일동,37.562989,127.1792819
서울위례별초등학교,서울특별시 송파구 위례광장로 243,위례동,37.47883955,127.1450546
서울한산초등학교,서울특별시 강동구 풍성로 261,둔촌2동,37.5279735,127.1414364
서울풍성초등학교,서울특별시 송파구 강동대로2길 13,풍납2동,37.5249149,127.1112308
서울풍납초등학교,서울특별시 송파구 풍성로 43,풍납1동,37.5351945,127.1181987
서울평화초등학교,서울특별시 송파구 송파대로26길 22,가락본동,37.4913113,127.1213353
서울토성초등학교,서울특별시 송파구 풍성로20길 44,풍납2동,37.5309909,127.1144964
서울천호초등학교,서울특별시 강동구 구천면로 310-11,천호1동,37.5433432,127.1326827
서울천일초등학교,서울특별시 강동구 구천면로 266,천호1동,37.5439587,127.1331352
서울천동초등학교,서울특별시 강동구 성안로 200,길동,37.53206,127.13276
서울중대초등학교,서울특별시 송파구 송파대로36길 8,송파2동,37.5000987,127.1138552
서울잠현초등학교,서울특별시 송파구 올림픽로37길 109,잠실4동,37.5230644,127.1095926
