,행정동코드8,시도명,시군구명,행정동명
0,11110515,서울특별시,종로구,청운효자동
1,11110530,서울특별시,종로구,사직동
2,11110540,서울특별시,종로구,삼청동
3,11110550,서울특별시,종로구,부암동
4,11110560,서울특별시,종로구,평창동
5,11110570,서울특별시,종로구,무악동
6,11110580,서울특별시,종로구,교남동
7,11110600,서울특별시,종로구,가회동
8,11110615,서울특별시,종로구,종로1.2.3.4가동
9,11110630,서울특별시,종로구,종로5.6가동
10,11110640,서울특별시,종로구,이화동
11,11110650,서울특별시,종로구,혜화동
12,11110670,서울특별시,종로구,창신1동
13,11110680,서울특별시,종로구,창신2동
14,11110690,서울특별시,종로구,창신3동
15,11110700,서울특별시,종로구,숭인1동
16,11110710,서울특별시,종로구,숭인2동
17,11140520,서울특별시,중구,소공동
18,11140540,서울특별시,중구,회현동
19,11140550,서울특별시,중구,명동
20,11140570,서울특별시,중구,필동
21,11140580,서울특별시,중구,장충동
22,11140590,서울특별시,중구,광희동
23,11140605,서울특별시,중구,을지로동
24,11140615,서울특별시,중구,신당동
25,11140625,서울특별시,중구,다산동
26,11140635,서울특별시,중구,약수동
27,11140645,서울특별시,중구,청구동
28,11140650,서울특별시,중구,신당5동
29,11140665,서울특별시,중구,동화동
30,11140670,서울특별시,중구,황학동
31,11140680,서울특별시,중구,중림동
32,11170510,서울특별시,용산구,후암동
33,11170520,서울특별시,용산구,용산2가동
34,11170530,서울특별시,용산구,남영동
35,11170555,서울특별시,용산구,청파동
36,11170560,서울특별시,용산구,원효로1동
37,11170570,서울특별시,용산구,원효로2동
38,11170580,서울특별시,용산구,효창동
39,11170590,서울특별시,용산구,용문동
40,11170625,서울특별시,용산구,한강로동
41,11170630,서울특별시,용산구,이촌1동
42,11170640,서울특별시,용산구,이촌2동
43,11170650,서울특별시,용산구,이태원1동
44,11170660,서울특별시,용산구,이태원2동
45,11170685,서울특별시,용산구,한남동
46,11170690,서울특별시,용산구,서빙고동
47,11170700,서울특별시,용산구,보광동
48,11200520,서울특별시,성동구,왕십리2동
49,11200535,서울특별시,성동구,왕십리도선동
50,11200540,서울특별시,성동구,마장동
51,11200550,서울특별시,성동구,사근동
52,11200560,서울특별시,성동구,행당1동
53,11200570,서울특별시,성동구,행당2동
54,11200580,서울특별시,성동구,응봉동
55,11200590,서울특별시,성동구,금호1가동
56,11200615,서울특별시,성동구,금호2.3가동
57,11200620,서울특별시,성동구,금호4가동
58,11200645,서울특별시,성동구,옥수동
59,11200650,서울특별시,성동구,성수1가1동
60,11200660,서울특별시,성동구,성수1가2동
61,11200670,서울특별시,성동구,성수2가1동
62,11200690,서울특별시,성동구,성수2가3동
63,11200720,서울특별시,성동구,송정동
64,11200790,서울특별시,성동구,용답동
65,11215710,서울특별시,광진구,화양동
66,11215730,서울특별시,광진구,군자동
