호선,역명,승하차인원
1호선,가산디지털단지,30237.3871
1호선,개봉,39098.19355
1호선,구로,32283.70968
1호선,구일,14198.16129
1호선,금천구청,19637.12903
1호선,남영,17605.12903
1호선,노량진,14769.83871
1호선,대방,19027.77419
1호선,독산,30940.8
1호선,동대문,20957.96774
1호선,동묘앞,17503.70968
1호선,서울역,105685.5806
1호선,시청,46879.74194
1호선,신길,14376.51613
1호선,신도림,6875.612903
1호선,신설동,24690.64516
1호선,영등포,80910.06452
1호선,오류동,20346.48387
1호선,온수,11037.29032
1호선,용산,82795.22581
1호선,제기동,31471.32258
1호선,종각,70154.16129
1호선,종로3가,44543.70968
1호선,종로5가,44928.3871
1호선,청량리,38403.87097
2호선,강남,144722.4194
2호선,강변,57411.22581
2호선,건대입구,68336.90323
2호선,교대,59352.83871
2호선,구로디지털단지,102658.9032
2호선,구의,43448.87097
2호선,낙성대,49873.6129
2호선,당산,34359
2호선,대림,44152.45161
2호선,도림천,2431.290323
2호선,동대문역사문화공원,28212.54839
2호선,뚝섬,44044.41935
2호선,문래,39677.90323
2호선,방배,28013.6129
2호선,봉천,42426.96774
2호선,사당,74859.41935
2호선,삼성,103420.871
2호선,상왕십리,25658.25806
2호선,서초,38565.41935
2호선,선릉,94256
2호선,성수,74413.77419
2호선,시청,44742.41935
2호선,신답,3083.451613
2호선,신당,27303.96774
2호선,신대방,46205.3871
2호선,신도림,90031.48387
2호선,신림,97537.03226
2호선,신설동,6625.806452
2호선,신정네거리,18723.80645
2호선,신촌,69387.22581
2호선,아현,18886.77419
2호선,양천구청,12398.45161
2호선,역삼,95211.96774
2호선,영등포구청,38084.03226
2호선,왕십리,26601.19355
2호선,용답,5004.870968
2호선,용두,4459
2호선,을지로3가,44261.06452
2호선,을지로4가,25277.45161
2호선,을지로입구,87918.83871
2호선,이대,27641.58065
2호선,잠실,146200.3226
2호선,잠실나루,26169.48387
2호선,잠실새내,42316.25806
2호선,종합운동장,22587.90323
2호선,충정로,18352.93548
2호선,한양대,14219.25806
2호선,합정,64123.16129
2호선,홍대입구,136226.871
3호선,가락시장,15889.87097
3호선,경복궁,42186.93548
3호선,경찰병원,13256.22581
3호선,고속터미널,89744.93548
3호선,교대,22812.22581
3호선,구파발,39630.29032
3호선,금호,14031.03226
3호선,남부터미널,53367.96774
3호선,녹번,26786.83871
