호선,역명,승하차인원,도로명주소,행정동,위도,경도
1호선,가산디지털단지,30237.3871,서울특별시 금천구 벚꽃로 309,가산동,37.48159574,126.8825595
1호선,개봉,39098.19355,서울특별시 구로구 경인로40길 47,개봉2동,37.49452225,126.8591026
1호선,광운대,13365.0,서울특별시 노원구 석계로 98-2,월계1동,37.62303356,127.0617635
1호선,구로,32283.70968,서울특별시 구로구 구로중앙로 174,구로5동,37.50243451,126.8814916
1호선,구일,14198.16129,서울특별시 구로구 구일로 133,구로1동,37.49639118,126.8699204
1호선,금천구청,19637.12903,서울특별시 금천구 시흥대로 63길 91,시흥1동,37.45560998,126.8945141
1호선,남영,17605.12903,서울특별시 용산구 한강대로77길 25,남영동,37.5405646,126.9713324
1호선,노량진,14769.83871,서울특별시 동작구 노량진로 151,노량진1동,37.51580267,126.9483592
1호선,녹천,7466.903226,서울특별시 도봉구 덕릉로 376,창1동,37.64569591,127.05092
1호선,대방,19027.77419,서울특별시 영등포구 여의대방로 300,신길7동,37.51332546,126.926303
1호선,도봉,10599.41935,서울특별시 도봉구 도봉로 170길 2,도봉2동,37.68036291,127.045764
1호선,도봉산,12019.93548,서울특별시 도봉구 도봉로 964-33,도봉2동,37.68980066,127.0462013
1호선,독산,30940.8,서울특별시 금천구 벚꽃로 115,가산동,37.46598732,126.8895142
1호선,동대문,20957.96774,서울특별시 종로구 종로 지하302,창신2동,37.57177757,127.0111671
1호선,동묘앞,17503.70968,서울특별시 종로구 종로 359,숭인1동,37.57337221,127.0167512
1호선,방학,17540.80645,서울특별시 도봉구 도봉로 150다길 3,방학1동,37.66634904,127.0444247
1호선,서울역,105685.5806,서울특별시 중구 세종대로 지하2,회현동,37.55715948,126.9725546
1호선,석계,14637.09677,서울특별시 노원구 화랑로 341,월계1동,37.61530594,127.0656473
1호선,시청,46879.74194,서울특별시 중구 세종대로 지하101,소공동,37.56543852,126.9769832
1호선,신길,14376.51613,서울특별시 영등포구 영등포로 327,영등포본동,37.51703185,126.9172249
1호선,신도림,6875.612903,서울특별시 구로구 새마로 지하 117-21,신도림동,37.508739,126.891109
1호선,신설동,24690.64516,서울특별시 동대문구 왕산로 지하1,용신동,37.5747188,127.0250937
1호선,신이문,14650.3871,서울특별시 동대문구 한천로 472,이문2동,37.60427864,127.0695773
1호선,영등포,80910.06452,서울특별시 영등포구 경인로 846,영등포본동,37.51566803,126.907666
1호선,오류동,20346.48387,서울특별시 구로구 경인로 20길 13,오류1동,37.49435919,126.8446007
1호선,온수,11037.29032,서울특별시 구로구 부일로 872,수궁동,37.49247392,126.8240386
1호선,외대앞,14913.35484,서울특별시 동대문구 휘경로 27,이문2동,37.59541368,127.0630588
1호선,용산,82795.22581,서울특별시 용산구 한강대로23길 55,한강로동,37.5297718,126.9647415
1호선,월계,10975.64516,서울특별시 노원구 월계로53길 40,월계2동,37.63210894,127.0587294
1호선,제기동,31471.32258,서울특별시 동대문구 왕산로 지하93,제기동,37.57819673,127.0346906
1호선,종각,70154.16129,서울특별시 종로구 종로 지하55,종로1.2.3.4가동,37.57021404,126.9832397
1호선,종로3가,44543.70968,서울특별시 종로구 종로 지하129,종로1.2.3.4가동,37.5704266,126.9920293
1호선,종로5가,44928.3871,서울특별시 종로구 종로 지하216,종로5.6가동,37.57090754,127.0019166
1호선,창동,1.166666667,서울특별시 도봉구 마들로11길 77,창5동,37.65320848,127.0476838
1호선,청량리,71665.61291,서울특별시 동대문구 왕산로 지하205,청량리동,37.58023316,127.0450859
2호선,강남,144722.4194,서울특별시 강남구 강남대로 지하396,역삼1동,37.49816465,127.0283079
2호선,강변,57411.22581,서울특별시 광진구 강변역로 53,구의3동,37.53516928,127.0946646
2호선,건대입구,68336.90323,서울특별시 광진구 아차산로 243,화양동,37.54041889,127.0691733
2호선,교대,59352.83871,서울특별시 서초구 서초대로 지하294,서초1동,37.49281786,127.0138385
2호선,구로디지털단지,102658.9032,서울특별시 구로구 도림천로 477,구로3동,37.48531492,126.9014944
2호선,구의,43448.87097,서울특별시 광진구 아차산로 384-1,자양2동,37.53715356,127.0861792
2호선,낙성대,49873.6129,서울특별시 관악구 남부순환로 지하1928,행운동,37.47706518,126.96341
2호선,당산,34359.0,서울특별시 영등포구 당산로 229,당산2동,37.53495687,126.9027307
2호선,대림,44152.45161,서울특별시 구로구 도림천로 351,구로4동,37.49331059,126.8949462
2호선,도림천,2431.290323,서울특별시 구로구 경인로67길 160,신도림동,37.51444205,126.8827026
2호선,동대문역사문화공원,28212.54839,서울특별시 중구 을지로 지하279,광희동,37.56558952,127.0091315
2호선,뚝섬,44044.41935,서울특별시 성동구 아차산로 18,성수1가2동,37.54718822,127.0473652
2호선,문래,39677.90323,서울특별시 영등포구 당산로 지하28,문래동,37.51792146,126.8947631
2호선,방배,28013.6129,서울특별시 서초구 방배로 지하80,방배3동,37.48143649,126.9976949
2호선,봉천,42426.96774,서울특별시 관악구 남부순환로 지하1721,은천동,37.48255622,126.9414953
2호선,사당,74859.41935,서울특별시 동작구 남부순환로 지하2089,남현동,37.47652283,126.9814089
2호선,삼성,103420.871,서울특별시 강남구 테헤란로 지하538,삼성1동,37.508862,127.063073
2호선,상왕십리,25658.25806,서울특별시 성동구 왕십리로 지하374,왕십리2동,37.56446871,127.0290312
2호선,서초,38565.41935,서울특별시 서초구 서초대로 지하233,서초3동,37.491823,127.0075808
2호선,선릉,94256.0,서울특별시 강남구 테헤란로 지하340,삼성2동,37.50450288,127.0489425
2호선,성수,74413.77419,서울특별시 성동구 아차산로 100,성수2가3동,37.5445024,127.0560905
2호선,시청,44742.41935,서울특별시 중구 서소문로 지하127,소공동,37.56357935,126.9753894
2호선,신답,3083.451613,서울특별시 성동구 천호대로 232,용답동,37.56999106,127.0468202
2호선,신당,27303.96774,서울특별시 중구 퇴계로 지하431-1,황학동,37.56565403,127.0195406
