행정동,유치원명
가락1동,1
가락2동,4
가락본동,2
가산동,1
가양1동,3
가양2동,3
가양3동,4
가회동,1
갈현1동,1
갈현2동,4
강일동,4
개봉1동,2
개봉2동,3
개봉3동,1
개포1동,1
개포2동,2
개포3동,2
개포4동,2
거여1동,1
거여2동,3
고덕1동,2
고덕2동,2
고척1동,2
고척2동,1
공덕동,3
공릉1동,6
공릉2동,10
공항동,4
광장동,5
구로1동,3
구로2동,1
구로3동,3
구로4동,2
구로5동,1
구산동,4
구의1동,2
구의2동,3
구의3동,2
군자동,3
금호1가동,1
금호2.3가동,2
금호4가동,2
길동,5
길음1동,7
길음2동,2
난곡동,2
난향동,1
남가좌1동,1
남가좌2동,3
남현동,2
내곡동,2
노량진1동,7
노량진2동,1
녹번동,4
논현1동,1
논현2동,2
능동,2
다산동,2
답십리1동,1
답십리2동,4
당산1동,2
당산2동,3
대림1동,2
대림2동,2
대림3동,4
대방동,2
대치1동,2
대치2동,1
대치4동,1
대학동,1
대흥동,2
도곡1동,2
도곡2동,2
도림동,2
도봉1동,3
도봉2동,2
도화동,3
독산1동,4
독산2동,2
독산3동,2
독산4동,1
돈암1동,2
돈암2동,6
동선동,3
둔촌2동,2
등촌1동,1
등촌2동,2
등촌3동,5
마장동,4
마천1동,1
마천2동,2
망우3동,1
망우본동,5
망원2동,1
면목2동,4
면목3.8동,1
면목4동,2
면목7동,1
면목본동,3
명일1동,1
명일2동,4
목1동,2
목2동,3
목3동,2
목4동,1
목5동,9
무악동,1
묵1동,2
묵2동,2
문래동,1
문정1동,1
미성동,1
반포1동,1
반포2동,2
반포3동,1
반포본동,1
발산1동,4
방배3동,3
방배4동,2
방배본동,1
방이1동,2
방이2동,1
방학1동,3
방학3동,4
방화1동,5
방화2동,4
방화3동,3
번1동,2
번2동,1
번3동,1
보광동,1
보라매동,1
보문동,4
부암동,2
북가좌1동,1
북가좌2동,2
북아현동,1
불광1동,4
불광2동,3
사근동,2
사당1동,1
사당2동,2
사당3동,2
사당5동,3
사직동,1
삼각산동,1
삼선동,1
삼성1동,1
삼성동,2
삼양동,3
삼전동,2
상계10동,3
상계1동,5
상계2동,3
상계3.4동,4
상계5동,1
상계6.7동,5
상계8동,5
상계9동,3
상도1동,5
상도2동,1
상도3동,1
상도4동,3
상봉1동,2
상봉2동,1
상암동,5
상일1동,5
상일2동,1
서교동,2
서림동,3
서빙고동,2
서초1동,1
서초2동,1
서초4동,3
석관동,3
석촌동,2
성내1동,1
성내3동,2
성북동,3
성산1동,2
성산2동,4
성수1가1동,3
성수2가1동,1
성수2가3동,1
성현동,3
세곡동,6
소공동,1
송정동,1
송중동,4
송천동,1
송파1동,3
송파2동,4
수궁동,1
수색동,2
수서동,4
수유1동,2
수유2동,3
수유3동,1
숭인1동,1
시흥1동,2
시흥2동,4
시흥3동,1
시흥5동,2
신길3동,3
신길4동,3
신길5동,1
신길6동,2
신길7동,2
신내1동,2
신내2동,5
신당5동,1
신당동,1
신대방1동,4
신도림동,3
신사1동,3
신사2동,2
신사동(강남구),1
신사동(관악구),2
신수동,1
신원동,2
신월1동,1
신월3동,2
신월4동,3
신월5동,2
신월6동,1
신월7동,2
신정1동,2
신정2동,1
신정3동,7
신정4동,4
신정6동,2
신정7동,3
신촌동,3
쌍문1동,5
쌍문2동,2
쌍문4동,4
안암동,1
암사1동,1
암사2동,1
암사3동,1
압구정동,1
약수동,1
양재1동,8
양재2동,1
양평1동,3
양평2동,2
여의동,5
역삼1동,1
역삼2동,1
역촌동,3
연남동,2
연희동,1
염리동,2
염창동,1
영등포동,3
영등포본동,2
오금동,4
오류1동,4
오류2동,7
오륜동,3
옥수동,4
왕십리2동,2
왕십리도선동,4
용강동,2
용답동,1
용문동,1
용신동,1
우이동,2
우장산동,4
원효로1동,2
원효로2동,2
월계1동,2
월계2동,5
월계3동,5
월곡1동,1
월곡2동,2
위례동,5
은천동,5
을지로동,1
응봉동,1
응암1동,3
응암2동,3
응암3동,4
이문1동,2
이문2동,2
이촌1동,5
이태원2동,1
인수동,3
인헌동,2
일원1동,2
일원본동,3
자양1동,3
자양2동,4
자양3동,4
자양4동,2
잠실2동,3
잠실3동,3
잠실4동,1
잠실6동,1
잠실7동,2
잠원동,1
장안1동,3
장안2동,3
장위1동,3
장위2동,3
장위3동,1
장지동,5
장충동,1
전농1동,3
전농2동,4
정릉1동,2
정릉3동,1
정릉4동,2
제기동,3
종로1.2.3.4가동,1
종로5.6가동,1
종암동,6
중계1동,2
중계2.3동,5
중계4동,3
중계본동,3
중곡2동,1
중곡3동,4
중곡4동,1
중림동,1
중앙동,1
중화1동,5
중화2동,2
증산동,1
진관동,9
창1동,2
창2동,1
창3동,2
창4동,4
창5동,4
창신1동,1
창신3동,1
천연동,1
천호1동,1
천호2동,2
천호3동,2
청구동,2
청담동,3
청량리동,2
청룡동,2
청림동,3
청운효자동,3
청파동,2
평창동,1
풍납1동,1
풍납2동,3
필동,2
하계1동,5
하계2동,2
한남동,1
합정동,1
항동,1
행당1동,1
행당2동,2
행운동,4
혜화동,3
홍은1동,2
홍은2동,1
홍제1동,3
홍제2동,2
홍제3동,2
화곡1동,3
화곡2동,2
화곡3동,1
화곡4동,4
화곡6동,2
화곡8동,1
화곡본동,4
화양동,2
회기동,2
회현동,1
후암동,1
휘경1동,1
휘경2동,3
흑석동,6
