행정동,제로웨이스트 가게수
가락본동,2
가양1동,7
가회동,1
고덕2동,2
공릉1동,2
공릉2동,1
공항동,2
광희동,1
구로2동,2
구로3동,1
구로5동,1
구산동,2
구의3동,1
군자동,2
길음1동,1
낙성대동,1
남가좌2동,1
남현동,1
녹번동,8
논현2동,2
당산1동,2
대방동,1
대조동,1
대치2동,1
대흥동,1
도곡1동,1
도곡2동,1
독산1동,1
동선동,2
등촌3동,2
마천2동,2
망원2동,1
명동,31
명일1동,1
목2동,2
묵1동,2
문래동,1
문정2동,2
반포3동,1
발산1동,1
방배2동,2
방배4동,1
방이1동,1
방학1동,2
방화3동,1
보라매동,1
북가좌1동,1
북가좌2동,4
사당2동,1
사당4동,1
사직동,2
삼각산동,2
삼전동,1
상계2동,1
상계3.4동,1
상계5동,2
상계6.7동,3
상계9동,1
상도1동,1
상도2동,1
상도4동,2
상암동,4
서원동,1
서초2동,1
서초4동,2
성내2동,3
성북동,1
성산1동,3
성산2동,2
성수1가2동,2
성수2가1동,1
성수2가3동,2
세곡동,1
소공동,8
송중동,1
수유3동,7
시흥1동,1
신당동,1
신도림동,1
신사동,2
신수동,1
신월2동,1
신정1동,1
신정2동,1
신정6동,2
신촌동,2
안암동,1
암사2동,1
양평1동,2
양평2동,1
여의동,2
역삼1동,2
역삼2동,1
역촌동,3
연남동,5
연희동,6
염리동,1
염창동,1
오금동,1
오류2동,1
용답동,2
용신동,1
우장산동,2
월계1동,1
을지로동,3
응암2동,1
이촌2동,5
이화동,1
자양1동,2
잠실2동,1
전농1동,2
정릉3동,1
조원동,2
종로1.2.3.4가동,5
종암동,1
중계1동,1
중화1동,1
진관동,2
창4동,1
청운효자동,1
풍납1동,1
풍납2동,1
필동,2
한강로동,1
합정동,4
홍은2동,1
홍제3동,1
화곡1동,3
화곡6동,2
화곡8동,1
화곡본동,1
화양동,1
회현동,4
후암동,1
흑석동,1
