,CONTS_ID,CONTS_NAME,IMG_URL,ADDR_OLD,ADDR_NEW,COORD_DATA,COORD_X,COORD_Y,TEL_NO,CONTS_DETL,CONTS_STAT,EX_DATA_01,EX_DATA_02,NAME_01,VALUE_01,NAME_02,VALUE_02,NAME_03,VALUE_03,NAME_04,VALUE_04,NAME_05,VALUE_05,NAME_06,VALUE_06,NAME_07,VALUE_07,NAME_08,VALUE_08,NAME_09,VALUE_09,NAME_10,VALUE_10,NAME_11,VALUE_11,NAME_12,VALUE_12,NAME_13,VALUE_13,NAME_14,VALUE_14,NAME_15,VALUE_15,NAME_16,VALUE_16,NAME_17,VALUE_17,NAME_18,VALUE_18,NAME_19,VALUE_19,NAME_20,VALUE_20,COORD_TYPE,LN_PATTERN,LN_COLOR,LN_WEIGHT,MOVIE_URL,VOICE_URL,BASE_AREA,POINT_NUM,LAN_TYPE,KEYWORD,SUB_ID,SUB_NAME,CRTFC_YN,geometry
0,zerowaste_2022027,더금하제로마켓,,서울특별시 금천구 독산동 1118-8,서울특별시 금천구 금하로1다길 16,"[126.89143,37.452988]",126.891430758,37.452988185,,,1,,,서울시 인증 여부,서울시제로마켓|,제로웨이스트 실천 내용,서울형 제로마켓|,운영시간,"운영시간을 작성하세요
※ 입력시 내용을 삭제해주세요",취급품목(메뉴),"리필세제, 측백오일제품 등",인스타그램,"https://www.instagram.com/아이디 형식으로 작성하세요, 없을 경우 공란
※ 입력시 내용을 삭제해주세요",제로페이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,#0000FF,4,,,08600,다사46173948,KOR,#환경,3,리필샵,N,POINT (126.891430758 37.452988185)
1,zerowaste_2023_048,서울시의회 의원회관,,서울특별시 중구 서소문동 37,서울특별시 중구 덕수궁길 15,"[126.97474,37.564594]",126.974741882,37.564593041,,,1,,https://www.smc.seoul.kr/,서울시 인증 여부,,제로웨이스트 실천 내용,다회용 컵 무인반납기 설치,운영시간,"월~금 09:00 ~ 18:00, 토,일 휴무",취급품목(메뉴),,인스타그램,,제로페이,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,#0000FF,4,,,04515,다사53615182,KOR,,1,카페,N,POINT (126.974741882 37.564593041)
2,zerowaste_2023_022,노들섬C(올두바이),,서울특별시 용산구 이촌동 302-146,서울특별시 용산구 양녕로 445,"[126.95804,37.51766]",126.958040000,37.517660000,0507-1372-1986,,1,,-,서울시 인증 여부,,제로웨이스트 실천 내용,다회용 컵 무인반납기 설치,운영시간,매일 10:00 ~ 21:00,취급품목(메뉴),커피 음료,인스타그램,,제로페이,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,#0000FF,4,,,04427,다사52104662,KOR,,1,카페,N,POINT (126.95804 37.51766)
3,zerowaste_2023_064,서대문구청,,서울특별시 서대문구 연희동 168-6,서울특별시 서대문구 연희로 248,"[126.93677,37.57912]",126.936770000,37.579120000,02-330-1301,,1,,https://www.sdm.go.kr/,서울시 인증 여부,,제로웨이스트 실천 내용,다회용 컵 무인반납기 설치,운영시간,"월~금 09:00 ~ 18:00, 토,일 휴무",취급품목(메뉴),,인스타그램,,제로페이,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,#0000FF,4,,,03718,다사50265345,KOR,,1,카페,N,POINT (126.93677 37.57912)
4,11103395_1655252179274,제로웨이스트샵안녕상점,,서울특별시 도봉구 방학동 677-14,서울특별시 도봉구 도봉로143길 18,"[127.041208847,37.66187976]",127.041208847,37.661879760,02-955-3330,,0,,http://cafe.naver.com/coopdodam,서울시 인증 여부,아니요,제로웨이스트 실천 내용,,운영시간,"수~금 13:00~19:00, 토 11:00~15:00 일~화, 공휴일 휴무",취급품목(메뉴),"친환경 생필품 200여종, 환경도서류, 세제류 리필, 식품 리필",인스타그램,http://www.instagram.com/dodammaeul,제로페이,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,#0000FF,4,,,01390,다사59536258,KOR,,3,리필샵,N,POINT (127.041208847 37.66187976)
5,zerowaste_2023_066,용두문화복지센터 (북카페),,서울특별시 동대문구 용두동 29-3,서울특별시 동대문구 고산자로28길 13,"[127.03917,37.57532]",127.039170000,37.575320000,02-6929-2652,,1,,-,서울시 인증 여부,,제로웨이스트 실천 내용,다회용 컵 무인반납기 설치,운영시간,"월~금 06:00 ~ 22:00, 토 09:00-18:00, 일 휴무",취급품목(메뉴),,인스타그램,,제로페이,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,#0000FF,4,,,02565,다사59305298,KOR,,1,카페,N,POINT (127.03917 37.57532)
6,zerowaste_0065,행복중심생협_새록 공릉점,,서울특별시 노원구 공릉동 238-31,서울특별시 노원구 공릉로34길 23,"[127.080319265,37.622943726]",127.080319265,37.622943726,02-975-7145,,1,,http://www.happycoop.or.kr/main.do,서울시 인증 여부,아니요,제로웨이스트 활동내용,"플라스틱병뚜껑 수거 
종이팩,멸균팩 수거
친환경먹거리 수업",운영시간,"월~금 10시~21시, 토일 10시~18시",취급품목(메뉴),"제로웨이스트제품(생활/주방/욕실용품)
친환경 유기농산물 및 가공식품
우유팩으로 만든 휴지, 생고무장갑",인스타그램,http://www.instagram.com/dbcoop_official,제로페이,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,#0000FF,4,,,01819,다사62965824,KOR,#환경,4,친환경생필품점,N,POINT (127.080319265 37.622943726)
7,zerowaste_2023_053,카페블럭,,서울특별시 광진구 자양동 627-26,서울특별시 광진구 자양로11길 10,"[127.08345,37.5348]",127.083450000,37.534800000,02-457-0416,,1,,https://www.makeus.net/44076,서울시 인증 여부,,제로웨이스트 실천 내용,다회용 컵 무인반납기 설치,운영시간,"월~금 08:00 ~ 21:00, 토,일 10:00-18:00",취급품목(메뉴),커피 음료,인스타그램,,제로페이,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,#0000FF,4,,,05056,다사63194846,KOR,,1,카페,N,POINT (127.08345 37.5348)
8,zerowaste_2023_027,숭의여대 음악당_드림스퀘어(카페),,서울특별시 중구 예장동 8-3,서울특별시 중구 소파로2길 10,"[126.9875,37.55786]",126.987500000,37.557860000,-,,1,,https://www.sewc.ac.kr/,서울시 인증 여부,,제로웨이스트 실천 내용,다회용 컵 무인반납기 설치,운영시간,"월~금 08:00 ~ 22:00, 토-일 09:00-21:30",취급품목(메뉴),커피 음료,인스타그램,,제로페이,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,#0000FF,4,,,04628,다사54735106,KOR,,1,카페,N,POINT (126.9875 37.55786)
9,zerowaste_2023_021,노들섬B,,서울특별시 용산구 이촌동 302-146,서울특별시 용산구 양녕로 445,"[126.95804,37.51766]",126.958040000,37.517660000,-,,1,,-,서울시 인증 여부,,제로웨이스트 실천 내용,다회용 컵 무인반납기 설치,운영시간,"월~금 07:00 ~ 22:00, 토-일 09:00-21:30",취급품목(메뉴),,인스타그램,,제로페이,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,L,#0000FF,4,,,04427,다사52104662,KOR,,1,카페,N,POINT (126.95804 37.51766)
