행정동,학교명
가락1동,2
가락2동,2
가락본동,2
가리봉동,1
가양1동,1
가양2동,1
가양3동,1
가회동,1
갈현2동,2
강일동,3
개봉1동,1
개봉3동,3
개포1동,1
개포2동,4
개포3동,1
개포4동,2
거여1동,1
거여2동,1
고덕1동,2
고덕2동,2
고척1동,3
고척2동,2
공덕동,2
공릉1동,3
공릉2동,4
공항동,2
광장동,3
구로1동,1
구로2동,1
구로3동,2
구로4동,1
구로5동,2
구산동,3
구의2동,2
구의3동,1
군자동,2
금호1가동,1
금호2.3가동,1
금호4가동,2
길동,3
길음1동,3
낙성대동,1
난곡동,1
난향동,1
남가좌1동,1
남가좌2동,1
남현동,1
내곡동,1
노량진1동,3
녹번동,3
논현1동,1
논현2동,1
능동,1
다산동,1
답십리1동,2
답십리2동,1
당산2동,2
대림1동,1
대림2동,2
대림3동,2
대방동,3
대조동,2
대치1동,1
대치2동,2
대치4동,1
대학동,1
대흥동,2
도곡1동,1
도곡2동,1
도봉1동,2
도봉2동,1
도화동,1
독산1동,4
독산2동,2
독산3동,2
독산4동,1
돈암1동,2
돈암2동,1
동선동,3
동화동,1
둔촌1동,2
둔촌2동,2
등촌1동,1
등촌2동,2
등촌3동,5
마장동,2
마천1동,1
마천2동,1
망우3동,2
망우본동,3
망원2동,2
면목2동,2
면목3.8동,1
면목4동,1
면목7동,1
면목본동,2
명동,1
명일1동,1
명일2동,2
목1동,2
목2동,1
목4동,1
목5동,4
무악동,1
묵1동,1
묵2동,2
문래동,3
문정1동,1
문정2동,1
미성동,2
반포1동,2
반포2동,2
반포3동,1
반포본동,1
발산1동,3
방배1동,1
방배2동,1
방배3동,1
방배4동,1
방배본동,1
방이1동,2
방학1동,1
방학2동,1
방학3동,3
방화1동,3
방화2동,1
방화3동,3
번1동,1
번3동,2
보라매동,1
보문동,2
부암동,2
북가좌1동,1
북아현동,1
불광1동,2
불광2동,3
사근동,2
사당1동,1
사당2동,1
사당3동,2
사당5동,2
사직동,1
삼각산동,1
삼선동,1
삼성1동,1
삼성2동,1
삼성동,2
삼양동,2
삼전동,1
상계10동,2
상계1동,3
상계2동,1
상계3.4동,2
상계5동,1
상계6.7동,3
상계8동,2
상계9동,3
상도1동,2
상도2동,1
상도4동,1
상봉1동,1
상암동,3
상일1동,3
상일2동,1
서강동,1
서교동,1
서림동,1
서빙고동,1
서초1동,1
서초2동,1
서초3동,1
서초4동,2
석관동,2
석촌동,1
성내1동,2
성북동,1
성산1동,2
성산2동,3
성수1가1동,2
성수2가1동,1
성수2가3동,1
성현동,2
세곡동,4
소공동,1
송정동,1
송중동,2
송천동,2
송파1동,1
송파2동,1
수궁동,1
수색동,1
수서동,1
수유1동,2
시흥1동,2
시흥2동,3
시흥3동,1
시흥4동,1
시흥5동,2
신길1동,1
신길3동,1
신길4동,1
신길5동,1
신길6동,1
신길7동,1
신내1동,2
신내2동,4
신당5동,1
신당동,1
신대방1동,1
신대방2동,1
신도림동,2
신사2동,3
신사동(강남구),1
신사동(관악구),1
신수동,1
신원동,1
신월2동,2
신월3동,2
신월4동,1
신월5동,1
신월6동,1
신월7동,1
신정1동,2
신정2동,2
신정3동,5
신정4동,2
신정7동,3
신촌동,3
쌍문1동,3
쌍문2동,1
쌍문4동,2
아현동,1
안암동,1
암사1동,1
암사2동,2
압구정동,1
양재1동,4
양재2동,1
양평1동,1
양평2동,2
여의동,2
역삼1동,1
역삼2동,1
역촌동,1
연희동,1
염리동,1
염창동,3
영등포동,1
영등포본동,1
오금동,3
오류1동,1
오류2동,5
오륜동,2
옥수동,2
왕십리2동,1
왕십리도선동,1
용강동,1
용답동,1
용산2가동,1
용신동,1
우장산동,1
원효로1동,1
원효로2동,1
월계1동,1
월계2동,2
월계3동,3
월곡1동,2
위례동,3
은천동,1
응봉동,1
응암1동,1
응암2동,1
응암3동,2
이문2동,1
이촌1동,1
이태원1동,1
이태원2동,1
인수동,2
일원1동,2
일원본동,2
자양1동,1
자양2동,4
자양3동,2
잠실2동,2
잠실3동,3
잠실4동,2
잠실6동,1
잠실7동,1
잠실본동,1
잠원동,1
장안1동,2
장안2동,2
장위1동,1
장위2동,2
장위3동,2
장지동,2
장충동,1
전농1동,1
전농2동,3
정릉2동,2
정릉3동,1
정릉4동,1
제기동,2
조원동,1
종로1.2.3.4가동,2
종로5.6가동,1
종암동,2
중계1동,2
중계2.3동,4
중계4동,1
중계본동,2
중곡2동,1
중곡3동,2
중곡4동,1
중림동,1
중앙동,1
중화1동,2
증산동,1
진관동,5
창1동,1
창2동,1
창3동,2
창4동,2
창5동,3
창신1동,1
창신3동,1
천연동,1
천호1동,2
천호2동,1
청구동,2
청담동,2
청량리동,1
청룡동,2
청운효자동,1
청파동,2
충현동,3
풍납1동,1
풍납2동,2
필동,2
하계1동,1
하계2동,2
한강로동,2
한남동,1
합정동,1
항동,1
행당1동,1
행당2동,1
행운동,2
혜화동,1
홍은1동,1
홍은2동,2
홍제1동,2
홍제3동,2
화곡1동,2
화곡2동,1
화곡4동,1
화곡6동,2
화곡본동,2
화양동,1
회기동,3
효창동,1
후암동,2
휘경2동,2
흑석동,3
